['329', '397', '31', '82', '79']
['57', '236', '215', '458', '137']
['107', '97', '355', '241', '38']
['393', '220', '164', '111', '275']
['113', '235', '396', '248', '30']
['65', '339', '269', '401', '106']
['371', '420', '221', '392', '320']
['145', '20', '293', '438', '158']
['96', '169', '484', '300', '154']
['404', '189', '126', '151', '219']
['419', '149', '214', '274', '270']
['323', '4', '271', '29', '486']
['377', '267', '45', '216', '353']
['288', '321', '93', '287', '32']
['253', '435', '429', '206', '55']
['11', '332', '37', '413', '144']
['71', '469', '134', '231', '2']
['94', '442', '142', '302', '155']
['450', '347', '201', '367', '313']
['200', '188', '478', '343', '368']
['41', '68', '464', '496', '363']
['90', '261', '362', '398', '410']
['183', '53', '46', '24', '67']
['129', '258', '423', '240', '242']
['418', '176', '54', '471', '412']
['485', '421', '70', '467', '379']
['483', '165', '358', '74', '251']
['385', '202', '171', '494', '210']
['36', '230', '406', '477', '383']
['3', '455', '360', '378', '250']
['351', '326', '425', '87', '191']
['33', '99', '454', '181', '222']
['1', '417', '424', '112', '444']
['0', '481', '359', '172', '121']
['228', '390', '114', '498', '408']
['256', '357', '73', '105', '48']
['257', '40', '9', '328', '433']
['136', '15', '370', '381', '95']
['196', '459', '47', '400', '306']
['131', '39', '43', '437', '157']
['448', '98', '354', '335', '243']
['203', '177', '51', '310', '185']
['260', '422', '341', '23', '415']
['6', '296', '42', '77', '273']
['244', '276', '88', '348', '254']
['384', '451', '213', '182', '217']
['27', '427', '303', '405', '315']
['493', '272', '277', '374', '445']
['356', '499', '21', '186', '60']
['225', '197', '263', '266', '85']
['460', '342', '473', '122', '475']
['280', '324', '7', '337', '56']
['292', '103', '10', '375', '184']
['386', '104', '139', '334', '463']
['294', '264', '426', '78', '476']
['166', '115', '283', '28', '382']
['69', '299', '369', '474', '414']
['262', '141', '466', '153', '318']
['35', '14', '119', '120', '58']
['160', '416', '117', '470', '376']
['281', '295', '345', '286', '127']
['199', '168', '83', '349', '223']
['291', '333', '366', '146', '190']
['229', '394', '16', '91', '316']
['208', '19', '116', '246', '319']
['307', '148', '340', '152', '218']
['301', '81', '439', '472', '411']
['5', '13', '207', '179', '92']
['391', '234', '399', '49', '159']
['365', '462', '338', '312', '124']
['64', '297', '239', '156', '62']
['449', '167', '138', '441', '61']
['170', '175', '308', '118', '123']
['194', '259', '327', '492', '209']
['289', '432', '17', '311', '346']
['389', '75', '403', '52', '282']
['480', '238', '178', '317', '479']
['268', '237', '109', '147', '187']
['161', '34', '100', '488', '108']
['322', '132', '430', '495', '86']
['162', '453', '174', '497', '284']
['352', '227', '101', '265', '309']
['8', '395', '491', '304', '255']
['205', '18', '26', '443', '446']
['452', '428', '465', '436', '249']
['204', '80', '344', '409', '63']
['192', '387', '102', '72', '125']
['330', '372', '314', '59', '350']
['361', '298', '434', '84', '252']
['193', '461', '373', '440', '447']
['226', '336', '50', '468', '245']
['128', '130', '325', '143', '380']
['482', '487', '12', '76', '278']
['224', '232', '140', '212', '22']
['66', '195', '456', '110', '247']
['135', '490', '173', '305', '180']
['388', '133', '198', '407', '285']
['331', '402', '211', '150', '279']
['290', '489', '233', '44', '89']
['163', '457', '364', '431', '25']
