['356', '461', '462', '463', '464', '465', '466', '467', '468', '469']
['97', '98', '69', '230', '237', '61', '411', '93', '94', '415']
['65', '66', '322', '132', '324', '393', '300', '460', '112', '63']
['128', '129', '358', '121', '122', '123', '127', '125', '126', '95']
['417', '418', '35', '131', '229', '419', '207', '412', '413', '414']
['489', '140', '332', '206', '143', '144', '79', '336', '147', '25']
['1', '4', '292', '6', '8', '9', '303', '368', '145', '191']
['0', '488', '361', '20', '22', '249', '26', '283', '316', '29']
['3', '298', '141', '335', '247', '313', '315', '349', '317', '319']
['195', '323', '231', '73', '492', '238', '242', '243', '245', '185']
['232', '331', '333', '334', '337', '338', '499', '340', '54', '345']
['481', '302', '304', '305', '306', '402', '308', '181', '182', '381']
['478', '390', '396', '470', '472', '473', '474', '476', '477', '254']
['96', '225', '226', '346', '142', '16', '341', '90', '347', '348']
['288', '450', '451', '453', '454', '456', '457', '458', '342', '281']
['318', '68', '301', '110', '111', '115', '116', '311', '30', '479']
['163', '235', '496', '179', '180', '183', '184', '186', '188', '189']
['452', '14', '113', '244', '117', '119', '248', '187', '28', '62']
['388', '409', '139', '150', '151', '153', '155', '157', '158', '159']
['256', '257', '258', '259', '261', '495', '152', '251', '253', '255']
['224', '416', '164', '228', '484', '240', '114', '146', '222', '223']
['384', '385', '387', '389', '491', '108', '367', '380', '382', '383']
['291', '70', '71', '72', '74', '76', '77', '78', '156', '221']
['192', '320', '321', '197', '325', '327', '329', '213', '310', '344']
['328', '490', '203', '459', '493', '494', '497', '498', '87', '312']
['100', '101', '102', '103', '104', '105', '107', '109', '17', '211']
['130', '263', '170', '210', '51', '212', '149', '215', '217', '218']
['420', '10', '11', '12', '174', '15', '18', '19', '148', '219']
['2', '99', '386', '39', '40', '41', '43', '47', '83', '343']
['33', '38', '7', '137', '46', '80', '82', '84', '86', '89']
['483', '59', '42', '169', '44', '45', '13', '49', '81', '27']
['160', '193', '196', '198', '199', '265', '48', '276', '85', '88']
['106', '401', '370', '372', '373', '374', '375', '377', '378', '379']
['194', '354', '355', '165', '357', '359', '398', '278', '350', '351']
['290', '455', '362', '364', '365', '366', '239', '369', '23', '124']
['480', '430', '432', '433', '435', '436', '437', '438', '439', '376']
['353', '293', '294', '295', '296', '297', '299', '272', '252', '92']
['64', '448', '449', '67', '233', '234', '330', '440', '442', '445']
['236', '314', '241', '50', '339', '52', '56', '441', '154', '446']
['133', '422', '423', '421', '424', '425', '426', '428', '429', '53']
['482', '485', '487', '173', '371', '475', '55', '57', '58', '443']
['167', '136', '427', '400', '403', '404', '405', '406', '407', '408']
['486', '172', '175', '176', '177', '178', '307', '309', '120', '60']
['171', '270', '271', '273', '274', '275', '277', '118', '279', '444']
['352', '161', '166', '391', '392', '394', '395', '397', '399', '447']
['34', '162', '36', '37', '168', '264', '360', '75', '363', '31']
['260', '200', '201', '204', '431', '209', '434', '21', '246', '24']
['32', '227', '202', '267', '205', '208', '214', '216', '410', '287']
['262', '135', '138', '266', '268', '269', '250', '91', '220', '190']
['289', '5', '134', '326', '471', '280', '282', '284', '285', '286']
