['250', '5']
['24', '15']
['225', '203']
['34', '21']
['17', '25']
['32', '43']
['16', '42']
['45', '46']
['2', '3']
['0', '7']
['8', '4']
['9', '10']
['27', '29']
['1', '13']
['18', '6']
['35', '23']
['14', '30']
['11', '31']
['36', '38']
['208', '211']
['243', '231']
['58', '98']
['53', '79']
['57', '54']
['59', '71']
['65', '82']
['75', '61']
['96', '97']
['200', '202']
['205', '206']
['129', '127']
['107', '148']
['108', '101']
['104', '136']
['106', '109']
['115', '118']
['130', '110']
['102', '111']
['133', '142']
['138', '134']
['140', '116']
['121', '145']
['131', '149']
['216', '226']
['217', '249']
['179', '158']
['188', '183']
['117', '119']
['178', '155']
['12', '20', '39']
['218', '247', '207']
['235', '236', '239']
['180', '37', '167']
['154', '19', '199']
['40', '41', '48']
['242', '204', '244']
['209', '227', '233']
['91', '93', '85']
['232', '219', '214']
['50', '52', '55']
['56', '88', '51']
['90', '69', '95']
['80', '81', '77']
['60', '78', '63']
['64', '99', '70']
['28', '44', '47']
['83', '67', '86']
['89', '68', '62']
['73', '92', '87']
['74', '212', '94']
['72', '66', '76']
['113', '146', '132']
['248', '237', '221']
['33', '26', '49']
['128', '137', '100']
['114', '84', '103']
['123', '139', '143']
['228', '213', '223']
['120', '147', '141']
['122', '124', '135']
['105', '125', '22']
['224', '222', '230']
['201', '246', '215']
['220', '229', '238']
['240', '241', '245']
['184', '161', '170']
['169', '190', '151']
['160', '197', '189']
['210', '234', '150']
['152', '168', '192']
['112', '144', '126']
['177', '156', '175']
['163', '181', '166']
['198', '182', '159']
['176', '164', '173']
['195', '196', '191']
['193', '194', '165']
['153', '186', '187']
['185', '171', '174']
['162', '172', '157']
