['9', '23', '47', '77', '127', '186', '215', '243', '290', '348', '365', '388', '408', '415']
['29', '66', '81', '116', '130', '144', '168', '174', '199', '210', '223', '338', '354', '378']
['5', '19', '21', '32', '37', '82', '131', '150', '175', '185', '261', '278', '292', '412']
['15', '39', '61', '65', '68', '72', '85', '172', '217', '258', '318', '336', '343', '356']
['56', '105', '155', '157', '177', '209', '219', '267', '271', '294', '344', '370', '377', '400']
['24', '67', '76', '141', '147', '159', '180', '205', '224', '236', '276', '282', '314', '341']
['58', '117', '139', '197', '222', '241', '244', '250', '257', '328', '339', '359', '391', '409']
['25', '57', '132', '134', '163', '164', '181', '206', '207', '260', '308', '362', '390', '405']
['12', '75', '92', '101', '103', '108', '113', '160', '218', '254', '302', '306', '366', '375']
['97', '121', '137', '148', '158', '166', '188', '202', '232', '233', '239', '240', '313', '326']
['6', '10', '51', '98', '142', '149', '190', '248', '259', '265', '285', '303', '383', '395']
['11', '27', '42', '64', '83', '133', '151', '213', '247', '256', '279', '321', '382', '393']
['69', '70', '71', '106', '128', '136', '229', '272', '340', '342', '350', '381', '399', '411']
['17', '60', '95', '107', '119', '122', '126', '165', '193', '263', '291', '325', '349', '352']
['3', '45', '162', '173', '176', '178', '182', '184', '332', '363', '401', '406', '413', '417']
['34', '48', '50', '138', '152', '171', '270', '280', '297', '331', '333', '389', '407', '416']
['8', '30', '33', '84', '93', '102', '124', '135', '146', '225', '300', '345', '368', '419']
['20', '109', '123', '145', '201', '203', '220', '227', '245', '246', '266', '335', '351', '392']
['4', '7', '41', '49', '90', '111', '179', '281', '295', '299', '323', '334', '404', '410']
['73', '104', '143', '204', '228', '234', '284', '286', '289', '346', '347', '358', '387', '402']
['43', '54', '55', '99', '115', '120', '161', '170', '192', '296', '372', '373', '384', '394']
['18', '169', '187', '194', '198', '200', '211', '269', '287', '304', '312', '320', '327', '385']
['26', '46', '79', '88', '167', '230', '237', '255', '264', '293', '355', '364', '379', '386']
['94', '153', '154', '196', '212', '249', '275', '301', '309', '319', '357', '371', '376', '398']
['13', '16', '59', '96', '125', '156', '183', '189', '221', '274', '307', '317', '329', '353']
['2', '14', '40', '62', '63', '74', '87', '100', '195', '231', '252', '253', '361', '396']
['35', '78', '114', '216', '226', '242', '277', '283', '298', '311', '315', '316', '322', '337']
['0', '28', '36', '80', '110', '140', '191', '208', '214', '262', '268', '288', '360', '367']
['1', '22', '31', '38', '44', '52', '53', '86', '91', '235', '310', '330', '374', '397']
['89', '112', '118', '129', '238', '251', '273', '305', '324', '369', '380', '403', '414', '418']
