['3', '4', '12', '13', '269', '15', '17', '401', '19', '20', '149', '150', '402', '152', '155', '160', '164', '38', '320', '193', '66', '458', '337', '228', '235', '111', '496', '381']
['0', '145', '280', '283', '158', '416', '167', '430', '305', '178', '184', '452', '325', '204', '464', '466', '473', '348', '350', '488', '237', '497', '498', '115', '371', '117', '373', '126']
['6', '392', '268', '21', '22', '406', '409', '27', '30', '162', '290', '40', '41', '42', '172', '47', '303', '61', '451', '341', '224', '356', '362', '239', '367', '369', '374', '380']
['129', '134', '263', '399', '400', '147', '29', '161', '168', '43', '428', '50', '440', '316', '60', '195', '456', '217', '219', '476', '229', '230', '103', '363', '112', '247', '121', '254']
['274', '403', '286', '159', '420', '165', '424', '301', '312', '190', '322', '459', '340', '215', '344', '475', '352', '107', '108', '109', '241', '379', '244', '245', '118', '499', '123', '252']
['257', '385', '387', '388', '265', '266', '270', '405', '288', '297', '45', '51', '59', '188', '196', '70', '212', '343', '346', '347', '353', '99', '100', '357', '491', '493', '494', '114', '248', '377']
['1', '2', '258', '282', '410', '156', '413', '415', '418', '423', '298', '427', '48', '432', '437', '439', '185', '62', '191', '319', '63', '68', '69', '453', '75', '479', '359', '243', '250', '255']
['132', '395', '148', '289', '291', '426', '300', '429', '302', '306', '438', '441', '187', '192', '448', '449', '201', '332', '205', '336', '472', '474', '477', '478', '482', '233', '490', '372', '375', '253']
['128', '131', '394', '141', '143', '276', '404', '151', '24', '25', '26', '284', '31', '33', '34', '35', '419', '49', '433', '186', '203', '460', '334', '207', '81', '225', '360', '365', '122', '383']
['261', '135', '139', '267', '287', '174', '175', '177', '179', '307', '57', '64', '67', '323', '71', '327', '455', '76', '79', '209', '467', '468', '214', '87', '221', '226', '358', '110', '495', '376']
['8', '393', '138', '397', '408', '417', '166', '173', '180', '310', '314', '447', '197', '457', '206', '211', '84', '85', '469', '88', '93', '96', '483', '484', '232', '105', '106', '116', '120', '382']
['256', '7', '264', '9', '137', '11', '16', '272', '146', '281', '285', '44', '53', '54', '450', '200', '328', '461', '339', '213', '471', '220', '94', '95', '351', '101', '231', '104', '119', '251']
['262', '275', '277', '278', '407', '154', '293', '294', '169', '431', '308', '181', '182', '436', '442', '317', '318', '445', '324', '73', '74', '202', '463', '465', '338', '354', '361', '489', '240', '242']
['384', '133', '389', '390', '10', '14', '271', '18', '23', '28', '412', '296', '425', '304', '183', '56', '313', '444', '446', '194', '198', '454', '331', '333', '78', '208', '86', '223', '366', '127']
['130', '259', '5', '140', '396', '398', '273', '414', '163', '421', '171', '176', '309', '443', '326', '199', '330', '77', '210', '216', '89', '345', '92', '102', '364', '492', '113', '370', '246', '249']
['386', '260', '391', '136', '32', '36', '37', '422', '39', '295', '170', '46', '52', '55', '58', '329', '462', '80', '218', '222', '97', '98', '227', '355', '481', '486', '234', '236', '238', '368']
['142', '144', '279', '153', '411', '157', '292', '299', '434', '435', '311', '315', '189', '65', '321', '72', '335', '82', '83', '342', '470', '90', '91', '349', '480', '485', '487', '378', '124', '125']
