['a464', 'a399', 'a462', 'a207', 'a492', 'a176', 'a298', 'a138', 'a200', 'a168', 'a108', 'a165', 'a72', 'a44', 'a40', 'a353', 'a27', 'a313', 'a209']
['a335', 'a493', 'a300', 'a459', 'a107', 'a360', 'a293', 'a68', 'a195', 'a418', 'a161', 'a64', 'a36', 'a413', 'a91', 'a122', 'a377', 'a373', 'a147']
['a304', 'a302', 'a296', 'a487', 'a294', 'a264', 'a104', 'a101', 'a290', 'a70', 'a117', 'a156', 'a339', 'a345', 'a120', 'a149', 'a435', 'a18', 'a81']
['a496', 'a494', 'a397', 'a110', 'a82', 'a230', 'a6', 'a324', 'a227', 'a150', 'a128', 'a63', 'a254', 'a221', 'a220', 'a157', 'a410', 'a470', 'a306']
['a114', 'a13', 'a460', 'a426', 'a137', 'a8', 'a119', 'a262', 'a354', 'a417', 'a130', 'a349', 'a189', 'a116', 'a344', 'a407', 'a86', 'a436', 'a83', 'a178']
['a270', 'a333', 'a236', 'a427', 'a490', 'a267', 'a201', 'a199', 'a422', 'a390', 'a198', 'a105', 'a67', 'a193', 'a94', 'a59', 'a346', 'a282', 'a26', 'a372']
['a112', 'a238', 'a237', 'a173', 'a171', 'a109', 'a77', 'a74', 'a391', 'a295', 'a5', 'a226', 'a480', 'a414', 'a317', 'a285', 'a155', 'a125', 'a473', 'a183']
['a368', 'a80', 'a106', 'a10', 'a456', 'a423', 'a197', 'a4', 'a131', 'a162', 'a383', 'a478', 'a191', 'a252', 'a188', 'a31', 'a23', 'a438', 'a437', 'a404']
['a144', 'a16', 'a461', 'a332', 'a172', 'a202', 'a328', 'a136', 'a69', 'a259', 'a126', 'a444', 'a475', 'a378', 'a219', 'a248', 'a340', 'a274', 'a466', 'a401']
['a495', 'a79', 'a78', 'a57', 'a394', 'a169', 'a135', 'a485', 'a164', 'a451', 'a386', 'a98', 'a160', 'a115', 'a61', 'a58', 'a153', 'a152', 'a371', 'a241']
['a15', 'a301', 'a235', 'a170', 'a139', 'a42', 'a261', 'a355', 'a286', 'a445', 'a244', 'a379', 'a190', 'a249', 'a60', 'a118', 'a405', 'a276', 'a51', 'a242']
['a48', 'a46', 'a11', 'a39', 'a228', 'a321', 'a288', 'a479', 'a287', 'a95', 'a476', 'a348', 'a251', 'a121', 'a62', 'a243', 'a246', 'a21', 'a148', 'a403']
['a14', 'a429', 'a233', 'a231', 'a71', 'a325', 'a196', 'a163', 'a66', 'a257', 'a416', 'a224', 'a127', 'a1', 'a92', 'a314', 'a281', 'a472', 'a341', 'a468']
['a208', 'a303', 'a56', 'a102', 'a214', 'a356', 'a291', 'a351', 'a319', 'a222', 'a30', 'a347', 'a315', 'a250', 'a184', 'a28', 'a310', 'a85', 'a402', 'a17']
['a365', 'a428', 'a299', 'a234', 'a75', 'a359', 'a327', 'a389', 'a388', 'a2', 'a385', 'a352', 'a283', 'a154', 'a312', 'a278', 'a213', 'a308', 'a307', 'a305']
['a89', 'a239', 'a76', 'a73', 'a424', 'a103', 'a166', 'a133', 'a292', 'a260', 'a24', 'a449', 'a256', 'a93', 'a412', 'a409', 'a441', 'a408', 'a54', 'a433']
['a432', 'a431', 'a336', 'a458', 'a457', 'a488', 'a455', 'a329', 'a145', 'a3', 'a97', 'a448', 'a96', 'a123', 'a442', 'a55', 'a406', 'a210', 'a338', 'a369']
['a430', 'a269', 'a141', 'a363', 'a361', 'a113', 'a263', 'a453', 'a99', 'a223', 'a446', 'a382', 'a185', 'a217', 'a280', 'a279', 'a211', 'a179', 'a467', 'a273']
['a463', 'a45', 'a203', 'a393', 'a425', 'a232', 'a358', 'a420', 'a100', 'a35', 'a384', 'a22', 'a29', 'a380', 'a411', 'a88', 'a151', 'a182', 'a19', 'a177']
['a175', 'a206', 'a12', 'a395', 'a362', 'a331', 'a167', 'a454', 'a7', 'a258', 'a481', 'a194', 'a253', 'a443', 'a376', 'a375', 'a20', 'a212', 'a275', 'a434']
['a271', 'a142', 'a330', 'a266', 'a421', 'a419', 'a322', 'a225', 'a192', 'a415', 'a318', 'a381', 'a316', 'a255', 'a34', 'a440', 'a374', 'a53', 'a84', 'a146']
['a272', 'a367', 'a240', 'a47', 'a364', 'a491', 'a247', 'a215', 'a41', 'a49', 'a357', 'a452', 'a483', 'a450', 'a33', 'a320', 'a218', 'a311', 'a277', 'a337']
['a400', 'a111', 'a398', 'a343', 'a334', 'a43', 'a489', 'a297', 'a265', 'a486', 'a326', 'a87', 'a387', 'a159', 'a158', 'a477', 'a474', 'a471', 'a180', 'a439']
['a143', 'a174', 'a396', 'a140', 'a134', 'a37', 'a323', 'a482', 'a289', 'a245', 'a447', 'a181', 'a129', 'a65', 'a25', 'a216', 'a342', 'a469', 'a370', 'a465']
['a366', 'a205', 'a268', 'a204', 'a9', 'a392', 'a38', 'a229', 'a484', 'a132', 'a32', 'a350', 'a284', 'a187', 'a186', 'a124', 'a90', 'a309', 'a52', 'a50']
