['A39', 'F39', 'C41']
['C38', 'C39', 'A28']
['H37', 'H38', 'B32']
['D38', 'E38', 'G39']
['B37', 'D37', 'B43']
['C36', 'C37', 'E34']
['A37', 'F37', 'G28']
['E37', 'G37', 'H28']
['E21', 'G21', 'H42']
['B21', 'D21', 'C34']
['A15', 'B15', 'G17']
['E15', 'F15', 'H39']
['H43', 'G43', 'C40']
['H6', 'C6', 'H34']
['H5', 'F7', 'D41']
['H7', 'C4', 'H40']
['H4', 'C5', 'E32']
['H9', 'C9', 'G42']
['H10', 'C8', 'G34']
['H8', 'C11', 'B45']
['H11', 'C10', 'G41']
['C3', 'H3', 'H41']
['G2', 'C0']
['E0', '3', 'E17']
['21', '26', 'H45']
['E18', 'H19', 'G40']
['G16', 'C12', 'F42']
['C48', 'C49', 'D39']
['H49', 'H50', 'E39']
['H47', 'H48', 'D45']
['C50', 'H44', 'A34']
['C44', 'G45', 'D32']
['48', 'E54', 'A43']
['C29', 'H29', 'A41']
['H27', 'E28', 'E35']
['C31', 'B30', 'E40']
['F30', 'G33', 'B39']
['H31', 'G32', 'E41']
['F35', 'E42', 'F28']
['F40', 'G38', 'C42']
['C23', 'C22', 'H32']
['H22', 'H20', 'H33']
['H21', 'C20', 'F41']
['F26', 'C27', 'E45']
['C26', 'H25', 'C43']
['C25', 'C24', 'B41']
['H23', 'H24', 'D35']
['32', '43', '52']
['33', '34', '49']
['45', '35', '37']
['58', '44', '38']
['42', '51', '46']
['C54', '36', '30']
['41', '57', '47']
['40', '56', '31']
['50', '53', '39']
['A52', 'B52', 'F52']
['A53', 'B53', 'F53']
['C53', 'C52', 'D53']
['D52', 'E52', 'G52']
['H52', 'E51', 'H51']
['A51', 'F51', 'G51']
['B51', 'C51', 'D51']
['E53', 'G53', 'H53']
['F54', 'G54', 'H54']
['A33', 'B33', 'C33']
['H36', 'G35', 'H35']
['B34', 'D34', 'F34']
['A36', 'B36', 'D36']
['E36', 'F36', 'G36']
['C14', 'D15', 'C15']
['D14', 'E14', 'G14']
['A14', 'B14', 'F14']
['F12', 'G12', 'H12']
['E13', 'H14', 'H13']
['D13', 'F13', 'G13']
['B17', 'C17', 'D17']
['H16', 'G15', 'H15']
['A16', 'B16', 'C16']
['H18', 'G18', 'H17']
['A18', 'B18', 'F18']
['A19', 'B19', 'D19']
['2', '11', '14']
['F0', 'G0', 'H0']
['1', '18', '15']
['8', '10', '16']
['0', '9', '28']
['20', '29', '7']
['25', '5', '6']
['H2', 'G1', 'H1']
['B1', 'E1', 'F1']
['A2', 'B2', 'C2']
['D43', 'E43', 'F43']
['E6', 'F6', 'G6']
['A6', 'B6', 'D6']
['E5', 'F5', 'G5']
['A7', 'B7', 'C7']
['D7', 'E7', 'G7']
['A4', 'B4', 'D4']
['E4', 'F4', 'G4']
['A5', 'B5', 'D5']
['E9', 'F9', 'G9']
['A9', 'B9', 'D9']
['E10', 'F10', 'G10']
['A8', 'B8', 'D8']
['E8', 'F8', 'G8']
['A11', 'B11', 'D11']
['E11', 'F11', 'G11']
['A10', 'B10', 'D10']
['A3', 'B3', 'D3']
['E3', 'F3', 'G3']
['D2', 'E2', 'F2']
['A1', 'C1', 'D1']
['A0', 'B0', 'D0']
['19', '4', '27']
['24', '17', '13']
['12', '22', '23']
['C18', 'D18', 'C19']
['E19', 'F19', 'G19']
['D16', 'E16', 'F16']
['A13', 'B13', 'C13']
['A48', 'B48', 'D48']
['A49', 'B49', 'D49']
['E49', 'F49', 'G49']
['E47', 'F47', 'G47']
['E48', 'F48', 'G48']
['E50', 'F50', 'G50']
['A50', 'B50', 'D50']
['E44', 'F44', 'G44']
['A44', 'B44', 'D44']
['A45', 'C45', 'F45']
['E46', 'F46', 'G46']
['A47', 'B47', 'D47']
['A46', 'B46', 'D46']
['59', '54', '55']
['A54', 'B54', 'D54']
['A29', 'B29', 'D29']
['E29', 'F29', 'G29']
['E27', 'F27', 'G27']
['B28', 'C28', 'D28']
['A31', 'B31', 'D31']
['E30', 'G30', 'H30']
['A30', 'C30', 'D30']
['D33', 'E33', 'F33']
['E31', 'F31', 'G31']
['A32', 'C32', 'F32']
['A35', 'B35', 'C35']
['A42', 'B42', 'D42']
['A40', 'B40', 'D40']
['A38', 'B38', 'F38']
['A23', 'B23', 'D23']
['E22', 'F22', 'G22']
['A22', 'B22', 'D22']
['E20', 'F20', 'G20']
['A21', 'C21', 'F21']
['A20', 'B20', 'D20']
['A26', 'B26', 'D26']
['A27', 'B27', 'D27']
['E26', 'G26', 'H26']
['E25', 'F25', 'G25']
['A25', 'B25', 'D25']
['E23', 'F23', 'G23']
['A24', 'B24', 'D24']
['E24', 'F24', 'G24']
['A12', 'B12', 'D12']
['C46', 'H46', 'C47']
['E12', 'A17', 'F17']
