['232', '1', '133', '23', '394', '182', '205', '120', '256', '163', '53', '301', '226', '112', '80', '81']
['197', '273', '275', '104', '239', '379', '200', '2', '255', '165', '263', '59', '55', '52', '63', '42']
['106', '107', '333', '370', '375', '399', '249', '172', '189', '71', '310', '258', '168', '162', '224', '156']
['191', '30', '335', '98', '140', '149', '328', '201', '75', '381', '354', '216', '219', '285', '225', '49']
['100', '31', '233', '136', '28', '376', '88', '86', '245', '241', '174', '180', '361', '4', '284', '117']
['344', '299', '278', '103', '235', '377', '392', '179', '185', '324', '124', '388', '66', '358', '211', '289']
['345', '341', '271', '33', '390', '177', '170', '167', '160', '352', '111', '118', '304', '154', '158', '41']
['295', '291', '336', '131', '7', '322', '77', '73', '319', '380', '385', '67', '169', '166', '281', '56']
['102', '101', '38', '36', '90', '141', '135', '398', '240', '184', '62', '204', '206', '125', '65', '355']
['342', '277', '230', '142', '139', '22', '244', '171', '11', '8', '123', '127', '288', '283', '159', '46']
['294', '293', '196', '193', '331', '332', '234', '396', '85', '181', '329', '368', '363', '353', '264', '54']
['37', '99', '91', '237', '24', '29', '243', '175', '17', '18', '360', '384', '386', '267', '58', '150']
['347', '297', '246', '242', '248', '173', '188', '10', '14', '382', '252', '69', '161', '262', '57', '45']
['346', '340', '343', '292', '39', '337', '94', '137', '323', '327', '317', '366', '362', '359', '261', '223']
['194', '192', '34', '330', '236', '134', '372', '82', '70', '68', '315', '257', '254', '115', '227', '152']
['279', '146', '148', '378', '373', '395', '326', '76', '312', '387', '61', '164', '119', '305', '89', '43']
['348', '298', '296', '109', '105', '93', '231', '26', '397', '87', '202', '60', '9', '50', '114', '391']
['290', '6', '96', '84', '186', '19', '321', '128', '364', '64', '356', '212', '306', '228', '153', '157']
['274', '97', '238', '145', '132', '21', '371', '320', '208', '78', '3', '367', '217', '213', '268', '155']
['270', '272', '334', '27', '400', '374', '176', '325', '203', '369', '215', '110', '308', '221', '48', '40']
['129', '276', '130', '20', '247', '183', '13', '12', '15', '365', '351', '214', '309', '300', '303', '44']
['338', '143', '393', '178', '207', '126', '318', '313', '311', '316', '314', '218', '113', '220', '47', '5']
['198', '195', '339', '95', '209', '121', '389', '250', '357', '350', '210', '287', '302', '307', '229', '151']
['349', '199', '190', '32', '35', '92', '147', '25', '187', '72', '79', '259', '251', '282', '265', '51']
['108', '144', '138', '83', '16', '74', '122', '383', '280', '286', '260', '266', '269', '116', '253', '222']
