['54', '58', '64', '67', '71', '80', '91', '116', '134', '193', '202', '231', '257', '290', '291']
['20', '29', '42', '49', '111', '117', '122', '131', '153', '155', '179', '180', '210', '222', '242']
['15', '32', '84', '102', '114', '119', '136', '137', '163', '198', '219', '243', '258', '260', '285']
['21', '26', '38', '55', '74', '97', '103', '125', '133', '140', '156', '196', '237', '239', '272']
['1', '8', '19', '31', '59', '62', '110', '120', '165', '187', '204', '208', '238', '278', '279']
['6', '40', '47', '66', '81', '82', '83', '88', '112', '141', '146', '209', '256', '277', '292']
['11', '65', '78', '104', '106', '107', '128', '176', '206', '218', '221', '227', '245', '250', '283']
['16', '52', '57', '77', '85', '109', '115', '138', '183', '212', '215', '248', '265', '268', '270']
['23', '45', '89', '142', '150', '162', '175', '182', '184', '234', '251', '255', '267', '274', '289']
['2', '3', '53', '69', '95', '96', '118', '123', '148', '164', '186', '207', '223', '286', '287']
['10', '18', '36', '61', '73', '195', '197', '199', '224', '225', '226', '232', '247', '284', '293']
['7', '14', '48', '121', '149', '157', '160', '161', '172', '189', '228', '229', '233', '241', '261']
['13', '44', '46', '68', '100', '105', '124', '139', '159', '170', '178', '213', '217', '296', '299']
['12', '17', '27', '33', '43', '70', '76', '101', '127', '143', '166', '188', '194', '294', '300']
['35', '50', '75', '86', '130', '132', '177', '190', '192', '203', '211', '230', '262', '263', '264']
['28', '63', '87', '92', '98', '135', '145', '147', '152', '181', '191', '235', '240', '254', '298']
['24', '25', '30', '41', '93', '108', '167', '173', '205', '244', '246', '252', '271', '275', '280']
['4', '72', '79', '94', '129', '144', '151', '154', '168', '174', '214', '249', '253', '259', '282']
['22', '51', '56', '60', '99', '158', '169', '200', '220', '236', '266', '269', '273', '276', '295']
['5', '9', '34', '37', '39', '90', '113', '126', '171', '185', '201', '216', '281', '288', '297']
