['161', '2', '35', '259', '102', '169', '235', '77', '241', '149', '151', '24', '25', '27', '89']
['39', '297', '236', '173', '78', '29', '177', '180', '22', '150', '215', '248', '125', '223', '159']
['66', '131', '4', '100', '197', '293', '105', '268', '284', '274', '23', '281', '90', '124', '128']
['33', '67', '68', '132', '195', '10', '143', '112', '239', '82', '84', '217', '58', '187', '64']
['193', '101', '262', '231', '200', '73', '106', '43', '108', '296', '114', '26', '59', '190', '63']
['1', '258', '230', '40', '139', '206', '15', '146', '115', '116', '147', '211', '254', '123', '94']
['160', '98', '224', '261', '166', '41', '171', '109', '144', '21', '117', '216', '153', '286', '96']
['229', '294', '138', '12', '172', '16', '18', '243', '245', '278', '185', '28', '285', '255', '256']
['257', '196', '198', '205', '272', '148', '276', '247', '152', '279', '282', '219', '60', '93', '30']
['38', '167', '233', '202', '76', '13', '45', '110', '111', '176', '208', '275', '20', '188', '31']
['65', '34', '97', '37', '288', '168', '267', '46', '19', '51', '250', '220', '158', '191', '192']
['6', '199', '9', '42', '265', '266', '299', '238', '47', '145', '210', '214', '121', '186', '92']
['99', '228', '69', '218', '8', '137', '264', '237', '142', '79', '184', '249', '122', '280', '95']
['130', '163', '260', '136', '232', '283', '269', '49', '212', '213', '55', '88', '155', '253', '126']
['103', '135', '295', '203', '140', '204', '300', '271', '50', '86', '54', '87', '154', '221', '127']
['225', '162', '194', '36', '227', '70', '263', '104', '75', '44', '175', '80', '252', '83', '156']
['129', '291', '164', '133', '201', '170', '298', '174', '270', '242', '244', '182', '119', '62', '287']
['226', '292', '165', '71', '72', '207', '113', '178', '209', '52', '246', '183', '57', '157', '222']
['289', '3', '134', '74', '11', '107', '234', '48', '17', '81', '273', '277', '118', '251', '189']
['290', '5', '7', '141', '14', '240', '179', '53', '85', '120', '56', '181', '91', '61', '32']
