['1', '23', '15', '34', '31', '53', '126', '20', '68', '124', '0', '123']
['290', '212', '177', '163', '156', '170', '213', '166', '176', '161', '289', '179']
['100', '152', '99', '155', '132', '29', '7', '102', '10', '139', '28', '133']
['62', '104', '105', '61', '51', '94', '54', '91', '69', '84', '107', '52']
['309', '302', '189', '175', '178', '188', '301', '168', '169', '308', '191', '183']
['250', '247', '255', '186', '184', '274', '263', '258', '241', '269', '185', '240']
['233', '237', '295', '229', '234', '239', '236', '232', '230', '231', '284', '273']
['287', '209', '265', '266', '293', '282', '208', '271', '210', '298', '279', '264']
['157', '303', '288', '201', '306', '203', '187', '190', '311', '200', '180', '280']
['43', '65', '33', '26', '32', '137', '138', '135', '70', '46', '136', '146']
['13', '27', '112', '22', '21', '12', '14', '145', '113', '30', '35', '19']
['50', '108', '93', '129', '86', '128', '131', '115', '57', '85', '92', '118']
['6', '89', '75', '80', '81', '76', '4', '60', '5', '78', '67', '83']
['36', '45', '59', '37', '2', '9', '144', '38', '56', '11', '3', '8']
['103', '130', '114', '96', '42', '101', '111', '106', '40', '97', '41', '125']
['143', '66', '119', '140', '127', '134', '64', '141', '120', '98', '116', '63']
['150', '39', '25', '148', '47', '149', '55', '24', '58', '77', '44', '147']
['95', '87', '16', '79', '82', '18', '49', '48', '17', '72', '90', '71']
['117', '73', '88', '153', '121', '122', '142', '74', '110', '151', '154', '109']
['347', '457', '455', '344', '465', '345', '325', '458', '422', '331', '324', '447']
['339', '364', '397', '421', '430', '366', '420', '427', '425', '454', '449', '342']
['320', '353', '323', '409', '423', '415', '408', '426', '431', '424', '352', '456']
['315', '368', '369', '326', '410', '363', '416', '362', '453', '419', '452', '399']
['382', '379', '348', '448', '450', '377', '316', '371', '318', '358', '349', '355']
['341', '343', '404', '359', '313', '346', '351', '437', '336', '356', '442', '354']
['459', '406', '414', '396', '403', '412', '411', '467', '444', '340', '464', '401']
['322', '312', '390', '332', '451', '388', '446', '445', '333', '335', '317', '319']
['338', '438', '435', '372', '373', '337', '381', '365', '374', '443', '436', '417']
['314', '434', '441', '357', '440', '398', '392', '387', '350', '393', '395', '321']
['283', '197', '199', '221', '220', '292', '268', '294', '202', '219', '222', '270']
['275', '198', '262', '196', '253', '259', '281', '252', '286', '195', '267', '272']
['171', '228', '173', '224', '172', '225', '235', '257', '182', '256', '174', '238']
['242', '205', '211', '214', '181', '204', '249', '227', '248', '251', '304', '206']
['297', '276', '310', '277', '299', '291', '285', '254', '278', '296', '305', '243']
['223', '218', '261', '193', '215', '207', '217', '192', '260', '226', '216', '194']
['158', '159', '245', '165', '160', '307', '246', '300', '244', '167', '162', '164']
['461', '462', '380', '370', '460', '389', '360', '383', '367', '361', '327', '405']
['400', '329', '407', '328', '391', '330', '418', '384', '394', '402', '334', '413']
['463', '378', '375', '376', '385', '466', '433', '439', '386', '428', '429', '432']
