['34', '35', '38', '108', '122', '129', '169', '171', '256', '263', '284', '364', '468', '482', '484', '495']
['134', '144', '226', '245', '250', '301', '335', '367', '386', '430', '432', '439', '445', '460', '476', '493']
['28', '62', '103', '112', '135', '164', '173', '184', '198', '216', '224', '296', '354', '444', '477', '483']
['0', '23', '64', '66', '71', '111', '176', '205', '240', '248', '265', '278', '390', '454', '473', '486']
['4', '10', '27', '49', '99', '107', '196', '229', '276', '294', '323', '333', '343', '351', '455', '497']
['24', '81', '102', '105', '161', '192', '217', '242', '280', '302', '308', '334', '377', '426', '427', '481']
['41', '149', '188', '202', '209', '313', '361', '385', '387', '396', '409', '438', '466', '478', '487', '488']
['2', '13', '54', '93', '178', '321', '375', '398', '408', '424', '437', '451', '462', '463', '471', '498']
['31', '101', '193', '195', '199', '208', '259', '290', '310', '332', '347', '365', '453', '456', '470', '489']
['92', '100', '130', '182', '207', '268', '289', '304', '357', '392', '395', '403', '411', '413', '446', '475']
['6', '37', '42', '55', '60', '67', '85', '138', '158', '166', '194', '200', '239', '254', '260', '412', '428']
['56', '116', '123', '124', '168', '221', '231', '255', '311', '315', '316', '366', '389', '401', '410', '467', '499']
['36', '40', '63', '83', '90', '127', '139', '140', '141', '145', '170', '204', '252', '362', '380', '425', '491']
['17', '18', '32', '47', '48', '61', '150', '157', '197', '201', '230', '270', '325', '358', '368', '400', '404']
['33', '46', '243', '257', '269', '292', '327', '337', '339', '345', '376', '394', '414', '416', '417', '443', '469']
['84', '137', '148', '162', '191', '212', '227', '261', '271', '274', '307', '330', '360', '383', '406', '449', '459']
['59', '68', '69', '73', '117', '119', '147', '151', '210', '213', '232', '275', '281', '282', '346', '381', '384']
['9', '16', '72', '87', '106', '109', '153', '163', '220', '236', '293', '336', '342', '353', '374', '397', '450']
['7', '21', '39', '58', '94', '156', '273', '291', '295', '312', '314', '349', '352', '421', '441', '474', '492']
['5', '57', '82', '91', '110', '152', '180', '185', '214', '322', '338', '393', '402', '407', '448', '457', '472']
['26', '65', '104', '115', '131', '167', '219', '319', '326', '340', '355', '359', '371', '418', '420', '479', '490']
['80', '86', '88', '89', '97', '98', '132', '165', '203', '222', '249', '262', '303', '369', '415', '434', '461']
['8', '20', '74', '95', '121', '154', '155', '174', '179', '183', '218', '253', '277', '348', '405', '423', '447']
['3', '22', '25', '44', '45', '75', '76', '120', '159', '247', '267', '298', '306', '372', '378', '433', '496']
['114', '118', '125', '126', '128', '142', '235', '238', '251', '288', '344', '363', '370', '388', '429', '452', '464']
['11', '12', '14', '50', '113', '133', '181', '190', '233', '241', '300', '318', '373', '435', '436', '440', '485']
['1', '15', '19', '53', '143', '175', '206', '211', '215', '223', '234', '286', '328', '329', '382', '422', '431']
['29', '43', '52', '77', '78', '79', '172', '177', '186', '225', '228', '258', '324', '331', '341', '350', '442']
['70', '96', '146', '160', '187', '237', '244', '272', '279', '283', '285', '297', '305', '317', '320', '399', '465']
['30', '51', '136', '189', '246', '264', '266', '287', '299', '309', '356', '379', '391', '419', '458', '480', '494']
