['43', '60', '72', '78', '105', '109', '111', '118', '137', '145', '173', '177', '208', '224', '238', '255', '266', '284', '308', '322', '336', '359', '377', '389', '393']
['5', '6', '17', '22', '45', '98', '115', '165', '181', '187', '195', '207', '212', '217', '218', '225', '233', '244', '269', '274', '278', '300', '309', '342', '369', '398']
['13', '20', '29', '30', '55', '69', '95', '101', '108', '163', '167', '184', '199', '209', '211', '222', '236', '245', '258', '285', '286', '287', '313', '318', '339', '381']
['14', '21', '35', '41', '63', '74', '87', '104', '112', '119', '123', '127', '139', '141', '158', '178', '219', '220', '227', '251', '292', '295', '296', '332', '334', '364']
['24', '34', '48', '59', '66', '76', '79', '97', '135', '143', '144', '148', '182', '223', '230', '239', '268', '275', '279', '283', '305', '307', '317', '321', '340', '367', '383']
['4', '9', '10', '16', '46', '80', '103', '113', '124', '129', '162', '164', '198', '201', '226', '243', '265', '267', '272', '293', '298', '331', '343', '352', '356', '371', '384']
['19', '31', '57', '65', '71', '81', '91', '94', '136', '140', '157', '168', '185', '197', '228', '242', '299', '306', '323', '328', '330', '348', '358', '363', '372', '373', '375']
['39', '42', '56', '64', '84', '88', '92', '107', '117', '130', '131', '152', '155', '156', '176', '188', '194', '213', '232', '237', '241', '252', '271', '325', '362', '380', '395']
['23', '49', '53', '54', '58', '70', '77', '90', '102', '110', '120', '147', '170', '174', '234', '270', '288', '290', '302', '314', '320', '338', '346', '351', '357', '382', '396']
['1', '36', '47', '50', '61', '67', '86', '89', '99', '114', '122', '133', '180', '206', '214', '229', '262', '273', '280', '319', '324', '335', '349', '354', '360', '366', '374']
['3', '15', '25', '27', '28', '38', '96', '125', '146', '150', '154', '179', '189', '210', '215', '250', '259', '277', '281', '301', '304', '333', '353', '361', '385', '387', '392']
['2', '8', '32', '44', '52', '68', '75', '93', '106', '138', '161', '166', '175', '183', '202', '216', '253', '254', '289', '294', '310', '312', '326', '329', '365', '368', '378']
['0', '12', '40', '83', '85', '116', '126', '128', '142', '149', '151', '159', '171', '191', '192', '200', '231', '235', '246', '247', '263', '282', '311', '316', '386', '391', '399']
['18', '26', '37', '51', '62', '132', '134', '153', '169', '190', '205', '221', '248', '249', '256', '261', '264', '276', '337', '341', '344', '345', '347', '355', '376', '379', '388']
['7', '11', '33', '73', '82', '100', '121', '160', '172', '186', '193', '196', '203', '204', '240', '257', '260', '291', '297', '303', '315', '327', '350', '370', '390', '394', '397']
