['DukeJellyTheGreatMonsterFinder', 'DukeFluffyTheMightyZombieHunter', 'SirShadowTheMightyRobotSniffer', 'MadameShadowTheGreatDragonEater', 'DuchessBarneyTheMightyVampireSniffer', 'QueenTrinityTheHeroicDragonFinder', 'DuchessShadowTheBraveDragonSniffer', 'MasterSushiTheMightyMonsterEater', 'MasterBeetleTheHeroicRobotMaker', 'DukeShadowTheGreatDragonEater', 'MasterShadowTheTrueDragonSniffer', 'DukeJellyTheHeroicRobotSniffer', 'MadameJellyTheTrueVampireHunter', 'QueenShadowTheTrueMonsterFinder', 'DuchessTrinityTheGreatMonsterFinder', 'SirFluffyTheBraveMonsterSniffer', 'DuchessFluffyTheBraveVampireSniffer', 'MasterBarneyTheBraveVampireFinder', 'DukeFluffyTheTrueVampireMaker']
['SirJellyTheHeroicZombieEater', 'QueenShadowTheHeroicMonsterSniffer', 'LordFluffyTheTrueMonsterMaker', 'DuchessJellyTheGreatMonsterSniffer', 'SirJellyTheBraveZombieFinder', 'SirTrinityTheBraveRobotHunter', 'DukeBeetleTheHeroicVampireFinder', 'LordTrinityTheHeroicMonsterSniffer', 'DuchessShadowTheHeroicVampireSniffer', 'DuchessSushiTheTrueMonsterFinder', 'DukeShadowTheHeroicDragonEater', 'SirFluffyTheGreatMonsterHunter', 'SirBeetleTheBraveZombieEater', 'SirFluffyTheTrueRobotHunter', 'LordSushiTheGreatDragonSniffer', 'SirTrinityTheBraveMonsterHunter', 'SirShadowTheMightyZombieEater', 'SirShadowTheBraveZombieFinder', 'DuchessFluffyTheTrueVampireFinder', 'DukeJellyTheBraveZombieFinder']
['LordSushiTheHeroicDragonMaker', 'SirSushiTheMightyDragonEater', 'SirJellyTheBraveRobotHunter', 'QueenBarneyTheMightyDragonSniffer', 'MasterBeetleTheTrueMonsterFinder', 'SirBarneyTheMightyRobotSniffer', 'MadameTrinityTheBraveZombieEater', 'MasterTrinityTheBraveMonsterEater', 'DuchessFluffyTheMightyRobotMaker', 'DukeFluffyTheMightyZombieFinder', 'SirTrinityTheBraveZombieMaker', 'LordBarneyTheHeroicRobotSniffer', 'DuchessBarneyTheGreatDragonMaker', 'MasterFluffyTheTrueMonsterEater', 'DuchessBeetleTheHeroicZombieEater', 'QueenFluffyTheMightyRobotEater', 'LordJellyTheGreatRobotHunter', 'DukeBarneyTheTrueZombieEater', 'LordBeetleTheMightyZombieSniffer', 'QueenFluffyTheBraveRobotHunter']
['QueenSushiTheTrueVampireMaker', 'MadameJellyTheTrueMonsterHunter', 'MadameBarneyTheMightyVampireMaker', 'DukeSushiTheMightyVampireEater', 'MasterJellyTheBraveDragonHunter', 'DuchessSushiTheTrueMonsterSniffer', 'SirTrinityTheHeroicRobotSniffer', 'LordFluffyTheMightyMonsterSniffer', 'MadameFluffyTheTrueMonsterEater', 'MasterTrinityTheBraveDragonHunter', 'SirSushiTheTrueRobotEater', 'LordJellyTheTrueMonsterMaker', 'DukeSushiTheHeroicZombieHunter', 'LordTrinityTheTrueZombieHunter', 'MadameJellyTheBraveDragonHunter', 'SirFluffyTheMightyZombieMaker', 'MasterShadowTheHeroicVampireSniffer', 'DuchessShadowTheMightyVampireFinder', 'QueenBarneyTheGreatRobotEater', 'MadameBeetleTheBraveVampireFinder']
['DuchessSushiTheHeroicRobotHunter', 'SirTrinityTheGreatRobotMaker', 'QueenBarneyTheMightyZombieEater', 'DukeJellyTheTrueMonsterMaker', 'SirShadowTheTrueMonsterEater', 'SirFluffyTheHeroicZombieSniffer', 'DuchessFluffyTheGreatRobotEater', 'DuchessShadowTheTrueVampireFinder', 'DuchessBarneyTheBraveZombieMaker', 'SirBarneyTheGreatMonsterHunter', 'DukeShadowTheBraveVampireHunter', 'QueenBeetleTheBraveZombieFinder', 'DuchessFluffyTheGreatRobotHunter', 'QueenSushiTheMightyMonsterEater', 'MadameJellyTheMightyZombieMaker', 'DukeTrinityTheGreatDragonFinder', 'MadameShadowTheMightyZombieFinder', 'MadameShadowTheHeroicMonsterMaker', 'QueenTrinityTheBraveMonsterFinder', 'MadameBarneyTheMightyZombieEater']
['SirBarneyTheGreatZombieEater', 'SirTrinityTheTrueMonsterMaker', 'LordBeetleTheBraveDragonHunter', 'DukeSushiTheBraveDragonFinder', 'LordJellyTheBraveVampireSniffer', 'MasterJellyTheMightyDragonFinder', 'MadameBeetleTheHeroicDragonFinder', 'DukeTrinityTheGreatMonsterEater', 'QueenSushiTheHeroicVampireFinder', 'MadameSushiTheMightyZombieHunter', 'MasterFluffyTheMightyMonsterMaker', 'SirJellyTheTrueDragonHunter', 'LordSushiTheBraveDragonSniffer', 'LordFluffyTheTrueMonsterSniffer', 'MadameSushiTheMightyMonsterEater', 'QueenFluffyTheTrueZombieHunter', 'MasterBeetleTheHeroicRobotFinder', 'MasterFluffyTheMightyDragonMaker', 'QueenTrinityTheMightyMonsterHunter', 'DukeBarneyTheHeroicRobotFinder']
['QueenTrinityTheTrueMonsterMaker', 'SirJellyTheTrueVampireFinder', 'SirFluffyTheTrueVampireSniffer', 'QueenTrinityTheTrueRobotMaker', 'LordJellyTheMightyMonsterFinder', 'DukeFluffyTheGreatRobotEater', 'QueenTrinityTheBraveZombieFinder', 'MadameShadowTheBraveRobotEater', 'DukeJellyTheBraveVampireFinder', 'QueenBeetleTheHeroicMonsterSniffer', 'SirBeetleTheBraveRobotHunter', 'SirTrinityTheMightyMonsterSniffer', 'DuchessShadowTheHeroicDragonHunter', 'MadameJellyTheGreatMonsterEater', 'MadameSushiTheHeroicZombieFinder', 'DukeFluffyTheHeroicVampireFinder', 'MadameShadowTheBraveVampireFinder', 'MasterBeetleTheBraveDragonSniffer', 'DukeTrinityTheBraveMonsterMaker', 'LordFluffyTheGreatVampireSniffer']
['DuchessTrinityTheGreatVampireFinder', 'DukeShadowTheBraveRobotHunter', 'MasterJellyTheGreatDragonHunter', 'MadameSushiTheGreatRobotFinder', 'LordJellyTheGreatVampireSniffer', 'DuchessJellyTheHeroicVampireMaker', 'QueenShadowTheHeroicZombieFinder', 'DuchessJellyTheHeroicDragonSniffer', 'SirBarneyTheTrueVampireEater', 'SirBarneyTheBraveRobotHunter', 'MasterShadowTheGreatRobotHunter', 'MasterBarneyTheGreatDragonEater', 'DukeShadowTheMightyRobotEater', 'LordBeetleTheBraveDragonFinder', 'SirSushiTheBraveZombieEater', 'MasterFluffyTheBraveRobotHunter', 'DukeJellyTheMightyRobotSniffer', 'MadameTrinityTheGreatMonsterMaker', 'LordFluffyTheGreatZombieHunter', 'SirJellyTheGreatVampireHunter']
['MasterBarneyTheTrueVampireSniffer', 'DuchessFluffyTheTrueRobotFinder', 'DukeTrinityTheBraveRobotEater', 'MasterBarneyTheTrueDragonFinder', 'DukeTrinityTheGreatDragonEater', 'LordBarneyTheBraveRobotFinder', 'LordSushiTheMightyZombieFinder', 'SirFluffyTheBraveZombieFinder', 'MasterBarneyTheTrueZombieEater', 'DukeSushiTheTrueDragonHunter', 'LordFluffyTheMightyVampireFinder', 'SirShadowTheHeroicRobotMaker', 'SirBarneyTheHeroicRobotSniffer', 'MasterJellyTheHeroicRobotHunter', 'MadameSushiTheMightyDragonSniffer', 'DuchessBarneyTheTrueDragonMaker', 'MasterTrinityTheHeroicRobotFinder', 'DukeJellyTheGreatDragonFinder', 'MasterBeetleTheTrueVampireHunter', 'QueenJellyTheHeroicVampireHunter']
['DukeBarneyTheGreatVampireHunter', 'DukeBeetleTheHeroicVampireSniffer', 'MasterBeetleTheHeroicZombieMaker', 'SirShadowTheGreatZombieSniffer', 'QueenTrinityTheGreatMonsterHunter', 'LordShadowTheBraveVampireFinder', 'DuchessShadowTheTrueZombieHunter', 'SirJellyTheHeroicMonsterMaker', 'LordBarneyTheMightyRobotFinder', 'SirShadowTheBraveZombieMaker', 'MasterBeetleTheTrueZombieSniffer', 'DuchessShadowTheMightyVampireHunter', 'LordShadowTheHeroicDragonSniffer', 'MadameTrinityTheGreatZombieEater', 'DuchessFluffyTheGreatDragonEater', 'QueenJellyTheBraveMonsterMaker', 'LordSushiTheHeroicRobotEater', 'SirSushiTheTrueZombieFinder', 'DuchessFluffyTheGreatZombieSniffer', 'QueenFluffyTheHeroicMonsterMaker']
['LordBeetleTheGreatZombieSniffer', 'LordShadowTheBraveRobotMaker', 'SirTrinityTheGreatRobotFinder', 'DuchessBarneyTheMightyMonsterSniffer', 'DukeSushiTheGreatDragonSniffer', 'MasterShadowTheMightyMonsterSniffer', 'SirJellyTheGreatZombieMaker', 'LordJellyTheBraveMonsterFinder', 'SirBeetleTheTrueRobotHunter', 'LordSushiTheHeroicVampireMaker', 'QueenBarneyTheBraveMonsterHunter', 'MasterFluffyTheHeroicMonsterEater', 'LordSushiTheGreatDragonEater', 'QueenSushiTheHeroicVampireMaker', 'LordShadowTheBraveVampireHunter', 'DuchessBarneyTheGreatMonsterFinder', 'DuchessBeetleTheTrueZombieEater', 'LordSushiTheGreatMonsterSniffer', 'LordFluffyTheMightyRobotSniffer', 'SirSushiTheGreatRobotEater']
