['OB', 'RK', 'SN', 'NH', 'SB']
['EV', 'OQ', 'EH', 'KU', 'OW']
['SL', 'GU', 'PP', 'ES', 'SR']
['TA', 'I', 'FO', 'HO', 'EE']
['QG', 'OJ', 'NK', 'OM', 'TC']
['OK', 'EU', 'KW', 'JT', 'RD']
['IO', 'MK', 'FS', 'PC', 'NW']
['IH', 'HS', 'IS', 'KF', 'CB']
['BH', 'K', 'LZ', 'HF', 'HN']
['MY', 'KT', 'BI', 'KV', 'RN']
['OH', 'QQ', 'NF', 'FD', 'OT']
['B', 'JJ', 'BT', 'NA', 'MP']
['DD', 'ET', 'F', 'NM', 'LB']
['LI', 'DK', 'MJ', 'EQ', 'OO']
['MA', 'OG', 'KZ', 'BE', 'MH']
['CJ', 'LN', 'PU', 'ED', 'SY']
['MB', 'MX', 'IG', 'NL', 'CK']
['KM', 'II', 'PN', 'SE', 'BU']
['KX', 'HJ', 'JB', 'N', 'IL']
['LA', 'JS', 'FF', 'EO', 'EB']
['SG', 'LH', 'BK', 'QJ', 'NQ']
['IY', 'OR', 'OE', 'JN', 'RO']
['KA', 'NR', 'LR', 'JC', 'HX']
['JG', 'JY', 'LD', 'NJ', 'FW']
['PY', 'CA', 'KE', 'CP', 'L']
['JW', 'RM', 'NS', 'EA', 'KN']
['SZ', 'GG', 'OX', 'ID', 'IU']
['FG', 'OI', 'QF', 'EY', 'QN']
['SP', 'IB', 'EC', 'HR', 'DL']
['BV', 'O', 'H', 'NN', 'QC']
['HE', 'DC', 'PQ', 'SS', 'Q']
['JU', 'NT', 'ER', 'V', 'QR']
['QT', 'FJ', 'T', 'HZ', 'QI']
['CM', 'RL', 'HA', 'PR', 'FR']
['BY', 'CF', 'MC', 'HK', 'IZ']
['CQ', 'NG', 'FK', 'HM', 'DF']
['MS', 'LG', 'BF', 'OF', 'LJ']
['LM', 'IC', 'GF', 'E', 'LF']
['FI', 'DM', 'HQ', 'FP', 'RR']
['JI', 'MV', 'BZ', 'FM', 'LL']
['ON', 'JF', 'PL', 'TD', 'FA']
['PJ', 'TB', 'HI', 'KK', 'M']
['GR', 'G', 'HC', 'NU', 'CV']
['OU', 'RF', 'IR', 'GY', 'GK']
['RE', 'LC', 'IX', 'IM', 'EK']
['EP', 'DV', 'DP', 'EI', 'PA']
['NY', 'RV', 'SQ', 'KL', 'ML']
['OP', 'KP', 'BQ', 'NB', 'D']
['KD', 'NX', 'FU', 'LY', 'DE']
['LW', 'PS', 'RQ', 'FC', 'BP']
['EF', 'LQ', 'QW', 'OL', 'W']
['MI', 'LK', 'QX', 'IV', 'JV']
['RB', 'JL', 'FB', 'FV', 'SI']
['QV', 'U', 'BG', 'FQ', 'MR']
['BB', 'LT', 'HW', 'KO', 'CG']
['LS', 'BW', 'KB', 'GT', 'CS']
['KR', 'EL', 'QA', 'GC', 'KS']
['JK', 'OS', 'PF', 'BO', 'DA']
['MT', 'QS', 'MW', 'MG', 'FX']
['BJ', 'X', 'SC', 'BN', 'IA']
['GA', 'PI', 'BC', 'QP', 'QL']
['EW', 'HP', 'HV', 'PV', 'QZ']
['PT', 'SU', 'DB', 'EX', 'MF']
['CU', 'KI', 'JD', 'CE', 'PE']
['NI', 'RT', 'GE', 'QU', 'HU']
['LE', 'FT', 'SK', 'DZ', 'FN']
['HY', 'SV', 'EN', 'EM', 'DW']
['IF', 'SM', 'QK', 'JP', 'JQ']
['MU', 'NC', 'IP', 'CN', 'SA']
['EJ', 'OV', 'RU', 'RI', 'QD']
['HB', 'BL', 'GN', 'SD', 'JX']
['ST', 'KH', 'PG', 'RC', 'KC']
['TF', 'BX', 'DJ', 'HD', 'PO']
['Z', 'OA', 'FZ', 'TE', 'DN']
['ND', 'CH', 'DR', 'IW', 'SX']
['KY', 'GW', 'IJ', 'RP', 'RS']
['DS', 'PK', 'JO', 'GL', 'GZ']
['KJ', 'A', 'PH', 'FL', 'GQ']
['PB', 'GS', 'PM', 'IT', 'OZ']
['BM', 'MO', 'BA', 'RJ', 'HL']
['LV', 'RH', 'IK', 'EZ', 'PW']
['RG', 'SO', 'PZ', 'BD', 'RY']
['CD', 'JA', 'LO', 'C', 'RX']
['GH', 'RZ', 'CY', 'JZ', 'QE']
['Y', 'NP', 'QO', 'DH', 'JR']
['MZ', 'IE', 'QB', 'S', 'R']
['GJ', 'RW', 'BR', 'PX', 'QY']
['SJ', 'LU', 'KG', 'JE', 'CX']
['DO', 'IQ', 'SF', 'JM', 'QM']
['MQ', 'P', 'DY', 'CW', 'DU']
['CC', 'HH', 'CR', 'HT', 'LP']
['GB', 'OC', 'NV', 'GV', 'IN']
['CL', 'NO', 'OD', 'FH', 'J']
['DG', 'EG', 'DI', 'GO', 'QH']
['CT', 'OY', 'SH', 'FE', 'KQ']
['FY', 'PD', 'LX', 'DQ', 'NE']
['GI', 'CI', 'NZ', 'SW', 'GM']
['GX', 'GD', 'HG', 'ME', 'DT']
['DX', 'MN', 'MD', 'BS', 'JH']
['CZ', 'GP', 'RA', 'MM', 'CO']
