['279', '135', '19', '259', '313']
['303', '240', '132', '356', '226']
['134', '394', '421', '470', '72']
['284', '437', '424', '108', '358']
['166', '464', '150', '290', '121']
['399', '175', '442', '217', '376']
['181', '54', '340', '256', '238']
['35', '460', '417', '457', '490']
['406', '7', '8', '382', '78']
['233', '387', '326', '73', '18']
['480', '107', '483', '405', '286']
['397', '291', '155', '327', '136']
['472', '364', '476', '170', '189']
['272', '297', '367', '432', '211']
['56', '24', '26', '30', '371']
['359', '1', '117', '105', '50']
['479', '390', '163', '224', '38']
['257', '69', '285', '103', '352']
['478', '65', '336', '17', '22']
['207', '110', '172', '459', '133']
['481', '230', '362', '237', '254']
['182', '183', '334', '139', '173']
['203', '71', '342', '193', '187']
['274', '300', '75', '339', '34']
['29', '190', '489', '220', '383']
['81', '246', '466', '335', '404']
['439', '5', '84', '412', '386']
['306', '159', '400', '410', '142']
['112', '349', '333', '21', '253']
['60', '267', '264', '0', '227']
['485', '452', '245', '289', '447']
['486', '498', '477', '263', '100']
['176', '314', '49', '363', '497']
['353', '275', '144', '152', '261']
['164', '266', '484', '151', '361']
['243', '122', '317', '448', '347']
['242', '197', '496', '258', '458']
['260', '471', '416', '265', '369']
['62', '186', '305', '433', '427']
['431', '47', '221', '304', '222']
['10', '161', '366', '351', '115']
['411', '94', '415', '316', '40']
['473', '231', '438', '111', '337']
['223', '357', '68', '348', '148']
['12', '365', '408', '157', '209']
['419', '90', '180', '42', '443']
['370', '341', '250', '194', '9']
['418', '98', '169', '43', '91']
['312', '87', '2', '321', '288']
['276', '27', '119', '381', '70']
['269', '391', '52', '64', '195']
['255', '453', '393', '104', '185']
['454', '332', '402', '270', '248']
['463', '475', '373', '268', '156']
['436', '20', '324', '165', '146']
['487', '372', '380', '301', '131']
['287', '344', '66', '178', '113']
['138', '51', '228', '403', '218']
['461', '374', '420', '86', '208']
['16', '429', '74', '323', '206']
['53', '249', '141', '282', '315']
['11', '451', '292', '46', '377']
['350', '200', '355', '215', '318']
['202', '153', '425', '63', '106']
['3', '154', '388', '137', '129']
['296', '281', '4', '378', '449']
['204', '241', '331', '57', '33']
['99', '114', '116', '251', '409']
['31', '77', '205', '298', '179']
['198', '232', '441', '280', '482']
['435', '168', '120', '465', '28']
['236', '160', '467', '214', '41']
['244', '196', '85', '493', '462']
['88', '92', '61', '109', '295']
['294', '392', '210', '401', '426']
['79', '97', '158', '124', '488']
['44', '130', '177', '126', '145']
['58', '440', '149', '14', '338']
['430', '446', '322', '278', '239']
['444', '293', '468', '13', '125']
['329', '379', '167', '101', '36']
['171', '93', '143', '273', '328']
['283', '375', '319', '491', '213']
['389', '174', '247', '325', '434']
['343', '89', '48', '199', '225']
['118', '140', '354', '262', '128']
['216', '15', '308', '212', '162']
['123', '456', '495', '423', '368']
['45', '469', '384', '192', '428']
['96', '346', '102', '395', '445']
['219', '82', '499', '311', '252']
['330', '455', '201', '55', '450']
['398', '271', '23', '235', '422']
['59', '385', '76', '360', '191']
['299', '25', '39', '6', '309']
['494', '147', '345', '229', '414']
['277', '307', '413', '396', '188']
['492', '80', '67', '234', '95']
['302', '474', '37', '310', '184']
['83', '127', '407', '320', '32']
