['295', '62', '88', '2', '140', '338', '340', '282', '218', '56', '133']
['316', '375', '333', '197', '164', '351', '249', '27', '60', '203', '366']
['329', '293', '310', '307', '303', '320', '120', '134', '81', '276', '144']
['162', '319', '299', '322', '200', '119', '115', '51', '332', '286', '205']
['339', '10', '301', '35', '209', '85', '312', '73', '285', '360', '291']
['269', '45', '185', '26', '257', '365', '155', '287', '25', '108', '31']
['41', '267', '359', '296', '179', '86', '252', '110', '147', '175', '76']
['163', '145', '240', '12', '226', '34', '132', '148', '274', '79', '91']
['251', '170', '15', '272', '13', '149', '323', '178', '171', '229', '7']
['355', '232', '370', '317', '247', '104', '345', '32', '242', '343', '118', '57']
['100', '5', '154', '176', '238', '246', '90', '97', '159', '77', '314', '141']
['217', '96', '337', '116', '117', '107', '156', '9', '305', '180', '254', '300']
['278', '224', '374', '346', '255', '327', '188', '268', '43', '349', '331', '55']
['16', '189', '354', '361', '84', '297', '326', '261', '284', '334', '266', '49']
['94', '71', '63', '151', '281', '111', '277', '342', '259', '165', '362', '74']
['210', '166', '174', '313', '21', '50', '348', '207', '8', '198', '153', '89']
['3', '347', '321', '363', '33', '69', '244', '324', '369', '201', '219', '290']
['123', '241', '263', '253', '39', '234', '187', '195', '308', '192', '80', '230']
['289', '350', '258', '158', '38', '190', '131', '239', '92', '53', '6', '150']
['233', '220', '64', '222', '273', '83', '372', '231', '59', '262', '270', '182']
['75', '214', '183', '169', '328', '250', '42', '264', '364', '114', '19', '237']
['256', '358', '36', '20', '95', '103', '66', '14', '37', '208', '181', '30']
['72', '204', '126', '206', '11', '138', '223', '235', '172', '318', '112', '367']
['184', '113', '122', '168', '216', '40', '167', '1', '275', '136', '157', '311']
['54', '70', '24', '177', '288', '65', '371', '68', '105', '335', '306', '143']
['186', '48', '109', '279', '44', '152', '352', '52', '191', '330', '22', '93']
['344', '29', '58', '325', '121', '194', '368', '236', '260', '302', '373', '99']
['106', '160', '46', '283', '142', '87', '280', '227', '341', '356', '292', '124']
['130', '193', '101', '211', '61', '18', '125', '202', '4', '135', '98', '47']
['82', '245', '128', '67', '298', '215', '129', '315', '102', '221', '248', '213']
['265', '78', '139', '309', '336', '173', '304', '28', '17', '271', '243', '161']
['357', '353', '212', '23', '294', '127', '228', '199', '225', '137', '196', '146']
