['229', '102', '71', '39', '76', '236', '111', '178', '53', '149', '182', '28']
['128', '3', '67', '165', '199', '73', '11', '143', '48', '119', '56', '157']
['100', '133', '230', '201', '107', '172', '235', '51', '84', '180', '158', '95']
['153', '131', '101', '7', '75', '110', '206', '147', '181', '86', '24', '25']
['192', '225', '37', '74', '171', '175', '15', '215', '186', '187', '188', '221']
['164', '9', '233', '123', '81', '245', '183', '59', '190', '189', '62', '223']
['38', '6', '234', '12', '13', '108', '117', '150', '151', '216', '218', '27']
['194', '132', '231', '136', '106', '174', '47', '239', '185', '122', '219', '61']
['1', '97', '35', '162', '5', '217', '77', '80', '246', '152', '57', '155']
['33', '193', '36', '68', '166', '40', '44', '140', '208', '17', '54', '220']
['64', '10', '237', '79', '209', '20', '125', '87', '248', '91', '92', '93', '159']
['198', '135', '72', '169', '203', '78', '240', '241', '83', '179', '212', '23', '156']
['65', '2', '130', '161', '70', '141', '142', '205', '238', '49', '82', '213', '184']
['224', '34', '99', '4', '197', '168', '113', '115', '85', '21', '88', '121', '191']
['226', '163', '195', '196', '134', '200', '41', '46', '112', '243', '52', '148', '22']
['228', '69', '104', '42', '204', '109', '177', '18', '146', '116', '118', '222', '127']
['96', '129', '160', '103', '167', '170', '43', '45', '207', '114', '89', '94', '63']
['98', '137', '138', '139', '173', '50', '244', '247', '120', '154', '124', '29', '126']
['32', '66', '58', '105', '202', '144', '145', '176', '19', '211', '249', '26', '30']
['0', '227', '8', '232', '14', '16', '210', '242', '214', '55', '90', '60', '31']
