['154']
['0', '2']
['3', '4']
['8', '1']
['9', '14']
['11', '12']
['325', '13']
['368', '15']
['121', '23']
['20', '22']
['18', '175']
['307', '37']
['17', '7']
['59', '52']
['89', '70']
['26', '6']
['33', '21']
['28', '30']
['378', '29']
['19', '293']
['32', '34']
['25', '38']
['388', '63']
['161', '51']
['48', '135']
['82', '86']
['96', '87']
['5', '39']
['68', '77']
['41', '43']
['49', '42']
['46', '55']
['106', '53']
['44', '54']
['181', '47']
['90', '45']
['57', '50']
['66', '78']
['97', '83']
['16', '40']
['24', '84']
['216', '71']
['36', '61']
['75', '62']
['73', '69']
['81', '67']
['64', '10']
['162', '389']
['334', '95']
['241', '332', '101']
['200', '244', '342']
['197', '329', '149']
['35', '27', '150']
['353', '147', '356']
['305', '171', '397']
['323', '398', '335']
['226', '227', '290']
['338', '236', '277']
['137', '379', '247']
['312', '358', '190']
['330', '355', '214']
['272', '235', '174']
['249', '218', '206']
['313', '219', '387']
['370', '148', '359']
['220', '212', '93']
['132', '60', '31']
['363', '309', '287']
['256', '385', '380']
['114', '133', '103']
['170', '300', '348']
['352', '322', '76']
['116', '229', '303']
['210', '267', '354']
['377', '172', '310']
['337', '145', '213']
['347', '195', '125']
['92', '189', '102']
['105', '285', '119']
['120', '314', '239']
['364', '390', '263']
['153', '99', '167']
['169', '118', '270']
['98', '268', '316']
['259', '204', '245']
['345', '292', '109']
['232', '320', '243']
['296', '186', '266']
['224', '297', '255']
['184', '201', '122']
['240', '163', '207']
['366', '318', '111']
['113', '298', '182']
['168', '185', '159']
['202', '250', '94']
['56', '58', '117']
['265', '317', '295']
['72', '80', '79']
['258', '373', '110']
['208', '371', '343']
['288', '336', '183']
['344', '108', '238']
['136', '392', '269']
['217', '211', '326']
['225', '362', '351']
['248', '257', '246']
['341', '228', '301']
['375', '261', '151']
['205', '134', '231']
['180', '221', '391']
['328', '203', '349']
['280', '91', '166']
['233', '179', '157']
['193', '324', '215']
['339', '262', '127']
['333', '253', '199']
['209', '100', '230']
['275', '164', '252']
['260', '126', '383']
['74', '131', '399']
['88', '140', '160']
['384', '146', '278']
['331', '372', '381']
['294', '382', '198']
['374', '85', '158']
['194', '107', '143']
['128', '394', '271']
['130', '139', '284']
['291', '254', '191']
['242', '115', '223']
['144', '350', '367']
['304', '273', '308']
['393', '173', '222']
['306', '196', '386']
['177', '282', '395']
['264', '129', '357']
['138', '346', '237']
['283', '319', '279']
['65', '299', '340']
['365', '188', '276']
['192', '281', '360']
['376', '321', '123']
['104', '274', '156']
['152', '178', '311']
['176', '361', '187']
['112', '234', '286']
['315', '155', '124']
['251', '396', '142']
['289', '165', '369']
['141', '302', '327']
