['65', '385', '386', '5', '325', '345', '105', '329', '45', '205', '335', '365', '305', '85', '245', '215', '25', '285', '125']
['66', '226', '6', '166', '186', '106', '266', '346', '46', '206', '366', '146', '306', '86', '246', '26', '156', '126', '286']
['35', '195', '255', '355', '135', '295', '75', '235', '395', '15', '175', '315', '115', '275', '55', '312', '155', '375', '95']
['96', '256', '36', '196', '70', '356', '136', '296', '376', '76', '236', '303', '16', '176', '116', '276', '56', '316', '317']
['129', '289', '69', '229', '249', '389', '9', '169', '109', '269', '49', '209', '381', '149', '309', '189', '89', '349', '29']
['64', '224', '344', '4', '164', '324', '104', '267', '44', '204', '364', '144', '304', '84', '244', '284', '24', '124', '184']
['248', '288', '321', '68', '228', '388', '8', '168', '328', '108', '48', '208', '114', '368', '148', '308', '348', '88', '28']
['1', '161', '101', '261', '326', '41', '201', '361', '301', '334', '336', '81', '241', '21', '181', '341', '221', '281', '61']
['225', '131', '165', '351', '391', '265', '11', '268', '141', '111', '271', '145', '211', '213', '151', '185', '251', '188', '31']
['67', '227', '259', '387', '7', '167', '360', '107', '219', '47', '207', '347', '147', '307', '370', '87', '187', '380', '287']
['193', '322', '291', '133', '102', '71', '231', '42', '171', '331', '82', '51', '371', '182', '311', '91', '93', '190', '191']
['350', '130', '99', '290', '230', '390', '10', '170', '250', '110', '270', '399', '50', '210', '150', '310', '121', '90', '30']
['320', '33', '353', '293', '313', '73', '233', '330', '393', '13', '173', '333', '113', '273', '337', '53', '373', '153', '253']
['0', '160', '280', '100', '260', '40', '200', '140', '300', '367', '80', '240', '220', '20', '180', '120', '27', '60', '127']
['384', '223', '3', '163', '103', '263', '383', '74', '43', '203', '363', '283', '83', '243', '23', '183', '123', '343', '63']
['2', '162', '382', '262', '72', '202', '282', '298', '362', '142', '302', '178', '242', '22', '342', '152', '122', '222', '62']
['32', '192', '352', '292', '134', '327', '232', '392', '138', '394', '12', '172', '332', '112', '272', '339', '212', '372', '252']
['128', '132', '319', '39', '359', '139', '299', '237', '279', '79', '239', '19', '52', '179', '340', '119', '59', '92', '159']
['98', '258', '323', '38', '198', '199', '218', '358', '238', '143', '378', '18', '338', '118', '247', '278', '58', '379', '158']
['97', '34', '194', '354', '294', '264', '137', '234', '314', '14', '174', '274', '254', '277', '54', '214', '374', '154', '94']
['257', '217', '37', '197', '357', '297', '377', '396', '77', '78', '397', '398', '17', '177', '369', '117', '216', '57', '157', '318']
