['328', '270', '482', '211', '50', '14', '282', '330']
['288', '289', '478', '321', '373', '171', '176', '47']
['7', '67', '359', '128', '210', '484', '84', '471']
['52', '345', '384', '433', '428', '125', '410', '19']
['341', '483', '228', '304', '332', '348', '145', '396']
['387', '442', '465', '405', '295', '468', '385', '204']
['0', '179', '39', '207', '340', '212', '29', '51']
['437', '162', '250', '20', '431', '255', '279', '264']
['364', '231', '197', '269', '447', '96', '10', '33']
['11', '164', '30', '370', '353', '62', '474', '127']
['120', '169', '194', '126', '195', '439', '225', '79']
['187', '362', '106', '480', '355', '190', '241', '286']
['165', '294', '87', '109', '423', '32', '102', '458']
['240', '327', '93', '243', '221', '434', '90', '287']
['2', '157', '124', '446', '229', '173', '168', '238']
['122', '9', '245', '101', '103', '115', '317', '108']
['407', '453', '379', '15', '246', '180', '357', '415']
['277', '334', '451', '497', '242', '306', '319', '174']
['216', '461', '403', '397', '28', '152', '438', '89']
['469', '147', '495', '443', '377', '390', '400', '16']
['31', '193', '308', '156', '129', '208', '347', '260']
['293', '196', '422', '488', '88', '297', '251', '313']
['222', '58', '275', '233', '256', '123', '263', '63', '367']
['301', '70', '138', '401', '66', '133', '254', '159', '291']
['60', '259', '335', '213', '470', '290', '466', '17', '494']
['217', '413', '202', '476', '344', '214', '300', '149', '201']
['154', '35', '418', '427', '53', '140', '135', '394', '271']
['94', '273', '305', '331', '296', '223', '456', '206', '182']
['42', '110', '320', '462', '189', '354', '41', '472', '356']
['69', '72', '232', '411', '460', '143', '54', '218', '380']
['75', '343', '276', '490', '234', '262', '205', '463', '55']
['284', '421', '5', '95', '230', '178', '425', '429', '399']
['13', '265', '80', '188', '420', '457', '131', '285', '181']
['81', '498', '130', '492', '158', '43', '134', '161', '100']
['23', '360', '432', '107', '136', '404', '491', '435', '167']
['266', '280', '310', '369', '278', '200', '389', '486', '105']
['237', '18', '499', '209', '324', '34', '116', '298', '114']
['86', '445', '166', '391', '398', '226', '386', '388', '74']
['146', '244', '215', '329', '175', '24', '44', '493', '235']
['170', '406', '392', '3', '26', '82', '36', '144', '258']
['104', '118', '249', '325', '375', '409', '85', '239', '467']
['257', '449', '219', '352', '27', '365', '99', '21', '185']
['252', '274', '83', '151', '314', '91', '247', '307', '322']
['49', '132', '333', '450', '253', '417', '68', '452', '299']
['113', '361', '416', '227', '12', '25', '71', '366', '268']
['160', '192', '338', '73', '395', '440', '309', '220', '441']
['4', '430', '22', '283', '374', '479', '163', '383', '281']
['112', '117', '203', '363', '119', '121', '496', '339', '412']
['408', '487', '436', '475', '368', '224', '448', '172', '153']
['261', '372', '318', '199', '311', '139', '312', '302', '454']
['56', '155', '177', '148', '376', '473', '98', '444', '481']
['77', '45', '65', '346', '8', '414', '76', '97', '48']
['183', '459', '92', '336', '57', '267', '402', '342', '236']
['150', '323', '315', '46', '198', '485', '40', '426', '477']
['351', '455', '316', '78', '489', '292', '303', '424', '142']
['37', '382', '64', '272', '393', '6', '59', '38', '186']
['111', '137', '191', '378', '419', '358', '337', '381', '248']
['1', '61', '464', '141', '184', '350', '371', '326', '349']
