['G', 'H', 'GG', 'HH', 'GGG', 'HHH', 'GGGG', 'HHHH', 'GGGGG', 'HHHHH', 'GGGGGG', 'HHHHHH', 'GGGGGGG', 'HHHHHHH', 'GGGGGGGG', 'HHHHHHHH']
['A', 'B', 'AA', 'BB', 'AAA', 'BBB', 'AAAA', 'BBBB', 'AAAAA', 'BBBBB', 'AAAAAA', 'BBBBBB', 'AAAAAAA', 'BBBBBBB', 'AAAAAAAA', 'BBBBBBBB']
['1', '2', '11', '22', '111', '222', '1111', '2222', '11111', '22222', '111111', '222222', '1111111', '2222222', '11111111', '22222222']
['I', 'J', 'II', 'JJ', 'III', 'JJJ', 'IIII', 'JJJJ', 'IIIII', 'JJJJJ', 'IIIIII', 'JJJJJJ', 'IIIIIII', 'JJJJJJJ', 'IIIIIIII', 'JJJJJJJJ']
['Q', 'R', 'QQ', 'RR', 'QQQ', 'RRR', 'QQQQ', 'RRRR', 'QQQQQ', 'RRRRR', 'QQQQQQ', 'RRRRRR', 'QQQQQQQ', 'RRRRRRR', 'QQQQQQQQ', 'RRRRRRRR']
['K', 'L', 'KK', 'LL', 'KKK', 'LLL', 'KKKK', 'LLLL', 'KKKKK', 'LLLLL', 'KKKKKK', 'LLLLLL', 'KKKKKKK', 'LLLLLLL', 'KKKKKKKK', 'LLLLLLLL']
['5', '6', '55', '66', '555', '666', '5555', '6666', '55555', '66666', '555555', '666666', '5555555', '6666666', '55555555', '66666666']
['i', 'j', 'ii', 'jj', 'iii', 'jjj', 'iiii', 'jjjj', 'iiiii', 'jjjjj', 'iiiiii', 'jjjjjj', 'iiiiiii', 'jjjjjjj', 'iiiiiiii', 'jjjjjjjj']
['3', '4', '33', '44', '333', '444', '3333', '4444', '33333', '44444', '333333', '444444', '3333333', '4444444', '33333333', '44444444']
['m', 'n', 'mm', 'nn', 'mmm', 'nnn', 'mmmm', 'nnnn', 'mmmmm', 'nnnnn', 'mmmmmm', 'nnnnnn', 'mmmmmmm', 'nnnnnnn', 'mmmmmmmm', 'nnnnnnnn']
['y', 'z', 'yy', 'zz', 'yyy', 'zzz', 'yyyy', 'zzzz', 'yyyyy', 'zzzzz', 'yyyyyy', 'zzzzzz', 'yyyyyyy', 'zzzzzzz', 'yyyyyyyy', 'zzzzzzzz']
['o', 'p', 'oo', 'pp', 'ooo', 'ppp', 'oooo', 'pppp', 'ooooo', 'ppppp', 'oooooo', 'pppppp', 'ooooooo', 'ppppppp', 'oooooooo', 'pppppppp']
['7', '8', '77', '88', '777', '888', '7777', '8888', '77777', '88888', '777777', '888888', '7777777', '8888888', '77777777', '88888888']
['c', 'd', 'cc', 'dd', 'ccc', 'ddd', 'cccc', 'dddd', 'ccccc', 'ddddd', 'cccccc', 'dddddd', 'ccccccc', 'ddddddd', 'cccccccc', 'dddddddd']
['E', 'F', 'EE', 'FF', 'EEE', 'FFF', 'EEEE', 'FFFF', 'EEEEE', 'FFFFF', 'EEEEEE', 'FFFFFF', 'EEEEEEE', 'FFFFFFF', 'EEEEEEEE', 'FFFFFFFF']
