['8', '11', '86', '148', '156', '170', '193', '270', '285', '303', '316', '317', '331', '343', '484']
['6', '70', '96', '107', '114', '137', '159', '194', '199', '247', '267', '305', '368', '425', '443']
['80', '83', '165', '187', '192', '239', '250', '286', '327', '350', '369', '377', '382', '458', '483']
['10', '32', '92', '141', '204', '212', '261', '274', '282', '361', '367', '374', '397', '405', '441']
['7', '38', '51', '73', '118', '124', '162', '298', '299', '363', '371', '421', '451', '487', '490']
['45', '47', '128', '163', '171', '185', '209', '217', '227', '312', '351', '409', '411', '432', '464']
['2', '21', '97', '112', '235', '295', '337', '381', '383', '393', '408', '440', '445', '480', '499']
['25', '75', '104', '172', '213', '226', '233', '314', '326', '344', '353', '378', '417', '428', '430']
['69', '95', '120', '138', '147', '158', '186', '188', '198', '206', '269', '271', '306', '334', '433']
['5', '50', '91', '123', '132', '196', '232', '296', '356', '359', '396', '399', '410', '439', '482']
['12', '106', '108', '164', '167', '169', '242', '277', '309', '318', '320', '322', '346', '355', '444']
['4', '17', '28', '46', '55', '85', '105', '110', '119', '202', '222', '281', '319', '427', '460']
['27', '64', '94', '203', '216', '225', '300', '304', '385', '400', '418', '419', '424', '438', '478', '479']
['59', '61', '155', '182', '220', '256', '268', '273', '308', '311', '342', '347', '436', '457', '461', '477']
['72', '113', '130', '210', '215', '243', '245', '251', '254', '313', '364', '380', '404', '406', '442', '495']
['39', '43', '121', '136', '218', '228', '231', '241', '246', '264', '348', '362', '416', '434', '450', '468']
['9', '63', '88', '131', '168', '388', '389', '390', '391', '414', '431', '448', '456', '470', '472', '481']
['18', '19', '35', '42', '53', '65', '82', '236', '244', '255', '302', '336', '402', '420', '437', '462']
['3', '15', '29', '31', '57', '79', '93', '189', '230', '287', '291', '321', '328', '352', '376', '497']
['48', '98', '135', '191', '211', '275', '276', '283', '288', '349', '358', '412', '446', '466', '476', '489']
['14', '99', '125', '184', '249', '257', '263', '279', '293', '294', '324', '330', '357', '426', '449', '452']
['23', '49', '100', '101', '102', '149', '301', '325', '335', '386', '407', '423', '465', '469', '475', '498']
['22', '54', '117', '122', '177', '221', '260', '262', '289', '341', '392', '413', '422', '454', '473', '474']
['1', '56', '81', '143', '144', '146', '176', '178', '197', '219', '340', '365', '395', '447', '488', '496']
['89', '129', '134', '139', '145', '181', '292', '323', '429', '453', '455', '459', '467', '486', '492', '493']
['34', '40', '41', '126', '140', '173', '258', '259', '265', '278', '307', '332', '370', '384', '394', '435']
['13', '44', '87', '154', '179', '190', '195', '223', '224', '234', '238', '284', '315', '372', '471', '494']
['20', '37', '52', '58', '71', '74', '78', '84', '115', '116', '153', '175', '205', '214', '237', '366']
['16', '24', '30', '60', '103', '152', '200', '240', '280', '297', '310', '329', '333', '354', '373', '379']
['0', '26', '33', '62', '77', '133', '150', '157', '174', '207', '229', '266', '375', '403', '485', '491']
['66', '67', '76', '109', '111', '151', '161', '252', '272', '338', '339', '345', '360', '387', '398', '415']
['36', '68', '90', '127', '142', '160', '166', '180', '183', '201', '208', '248', '253', '290', '401', '463']
