['47', '55', '68', '72', '77', '96', '107', '120', '123', '160', '223', '265', '274', '280', '342', '343', '359', '373', '379', '390', '404', '420', '459', '469', '484']
['12', '41', '81', '88', '95', '105', '116', '166', '176', '180', '184', '209', '245', '255', '263', '270', '298', '309', '324', '340', '354', '393', '410', '462', '493']
['63', '67', '80', '125', '164', '165', '191', '226', '227', '228', '231', '258', '311', '323', '332', '338', '348', '372', '375', '376', '403', '426', '432', '492', '498']
['26', '30', '34', '61', '66', '93', '111', '144', '153', '159', '203', '224', '236', '238', '254', '257', '275', '306', '355', '362', '384', '397', '405', '437', '471']
['32', '54', '57', '69', '73', '113', '114', '131', '133', '205', '225', '250', '266', '273', '302', '349', '374', '378', '429', '439', '441', '448', '463', '470', '480']
['24', '150', '221', '234', '243', '247', '249', '291', '295', '296', '307', '326', '334', '344', '366', '385', '387', '389', '401', '413', '418', '452', '476', '478', '495']
['5', '43', '49', '53', '87', '121', '130', '136', '154', '170', '183', '193', '216', '237', '259', '276', '278', '305', '381', '386', '394', '412', '446', '460', '465']
['27', '42', '45', '56', '62', '115', '117', '124', '138', '149', '157', '175', '188', '201', '206', '213', '214', '229', '253', '286', '327', '346', '357', '368', '449']
['4', '31', '46', '92', '99', '100', '172', '179', '285', '292', '293', '299', '322', '341', '347', '360', '365', '430', '436', '447', '454', '473', '481', '482', '489']
['33', '82', '106', '109', '158', '174', '195', '241', '246', '261', '264', '271', '279', '282', '297', '301', '328', '333', '351', '377', '382', '395', '415', '424', '467']
['15', '60', '84', '91', '97', '122', '141', '151', '167', '168', '190', '194', '197', '220', '242', '284', '339', '369', '398', '402', '409', '416', '434', '440', '488']
['3', '16', '21', '38', '40', '51', '83', '94', '145', '198', '199', '204', '207', '210', '211', '215', '233', '262', '277', '325', '331', '371', '396', '468', '474']
['7', '8', '20', '22', '65', '79', '108', '112', '128', '177', '202', '232', '267', '269', '281', '288', '289', '300', '345', '363', '392', '422', '450', '464', '486']
['6', '17', '28', '78', '127', '134', '135', '137', '146', '148', '173', '186', '200', '212', '218', '244', '268', '294', '303', '312', '321', '370', '388', '431', '444']
['1', '13', '19', '52', '74', '85', '98', '161', '171', '187', '240', '248', '330', '336', '358', '361', '367', '419', '421', '425', '442', '456', '457', '472', '499']
['0', '18', '44', '110', '147', '169', '189', '222', '239', '251', '252', '283', '308', '335', '350', '353', '383', '399', '407', '417', '443', '451', '483', '490', '496']
['11', '50', '89', '101', '102', '129', '139', '142', '162', '181', '185', '230', '256', '287', '290', '313', '316', '317', '320', '423', '428', '435', '445', '477', '485']
['2', '25', '29', '70', '90', '104', '119', '155', '163', '192', '272', '310', '319', '329', '337', '352', '356', '408', '411', '427', '453', '458', '461', '487', '494']
['10', '14', '35', '36', '39', '48', '103', '118', '126', '132', '143', '156', '178', '208', '217', '219', '235', '260', '304', '315', '318', '391', '406', '414', '455']
['9', '23', '37', '58', '59', '64', '71', '75', '76', '86', '140', '152', '182', '196', '314', '364', '380', '400', '433', '438', '466', '475', '479', '491', '497']
