['277', '105', '243', '202', '377', '365', '233', '201', '183', '300', '39', '11', '99', '193', '374', '351']
['159', '245', '75', '472', '144', '55', '74', '19', '43', '40', '390', '5', '165', '412', '392', '330']
['63', '192', '21', '149', '6', '139', '236', '441', '440', '385', '299', '305', '123', '187', '494', '199']
['360', '185', '433', '297', '312', '378', '171', '314', '324', '97', '452', '78', '304', '62', '212', '279']
['444', '476', '113', '379', '7', '22', '273', '323', '270', '405', '112', '163', '485', '89', '53', '274']
['181', '189', '226', '430', '131', '81', '318', '306', '316', '253', '287', '230', '102', '84', '345', '352']
['50', '367', '218', '259', '231', '386', '290', '488', '375', '108', '391', '388', '14', '26', '383', '126']
['357', '478', '261', '12', '491', '347', '44', '240', '462', '436', '125', '71', '158', '103', '260', '428']
['339', '404', '417', '109', '278', '313', '76', '258', '247', '301', '145', '364', '389', '456', '203', '92']
['298', '438', '72', '397', '142', '447', '168', '208', '356', '179', '54', '288', '124', '227', '214', '251']
['35', '368', '133', '235', '458', '207', '211', '88', '334', '418', '408', '87', '354', '241', '492', '217']
['175', '156', '120', '37', '56', '252', '342', '170', '61', '474', '140', '172', '346', '358', '431', '13']
['65', '115', '70', '319', '487', '343', '15', '326', '204', '393', '423', '225', '293', '359', '403', '489']
['416', '29', '350', '407', '248', '38', '294', '130', '80', '2', '285', '250', '309', '495', '28', '371']
['484', '162', '121', '453', '460', '480', '222', '177', '437', '468', '180', '17', '242', '296', '325', '155']
['315', '322', '471', '410', '150', '266', '104', '384', '27', '73', '249', '33', '291', '83', '147', '134']
['51', '232', '36', '470', '394', '311', '271', '205', '106', '380', '216', '238', '366', '114', '465', '486']
['93', '467', '265', '310', '151', '280', '419', '372', '119', '141', '31', '268', '47', '246', '398', '215']
['4', '107', '381', '117', '349', '376', '79', '370', '442', '111', '52', '362', '191', '32', '228', '23']
['244', '332', '174', '255', '399', '198', '128', '127', '267', '284', '473', '160', '46', '295', '283', '182']
['173', '166', '469', '425', '400', '224', '327', '161', '254', '59', '176', '41', '98', '69', '45', '24']
['340', '275', '302', '475', '496', '137', '190', '455', '16', '454', '152', '331', '395', '25', '1', '426']
['463', '409', '401', '101', '464', '129', '138', '197', '239', '427', '363', '169', '30', '369', '153', '9']
['136', '457', '446', '281', '282', '406', '186', '434', '396', '148', '353', '64', '122', '210', '94', '154']
['481', '221', '194', '493', '435', '196', '344', '67', '337', '91', '58', '85', '110', '42', '439', '443']
['289', '96', '341', '482', '333', '320', '361', '3', '450', '429', '263', '132', '387', '303', '338', '188']
['77', '206', '432', '483', '276', '66', '234', '451', '100', '257', '461', '118', '269', '264', '219', '262']
['20', '373', '209', '402', '421', '229', '57', '68', '195', '329', '256', '448', '335', '200', '292', '272']
['213', '184', '411', '422', '459', '82', '413', '48', '164', '286', '382', '317', '466', '348', '445', '414']
['157', '34', '415', '86', '146', '420', '90', '167', '10', '178', '49', '18', '307', '477', '135', '223']
['336', '424', '449', '116', '237', '308', '328', '479', '220', '95', '8', '60', '143', '355', '321', '490']
