['44', '72', '74', '97', '118', '170', '174', '204', '222', '231', '238', '243', '251', '287', '312', '316', '334', '392', '430', '457', '467']
['38', '48', '98', '105', '122', '131', '137', '150', '164', '168', '248', '281', '296', '305', '323', '358', '397', '417', '422', '429', '432']
['1', '17', '28', '31', '34', '67', '128', '161', '212', '249', '284', '290', '324', '405', '409', '425', '428', '438', '459', '461', '486']
['15', '18', '33', '59', '91', '119', '221', '234', '263', '304', '307', '326', '344', '347', '365', '370', '372', '403', '443', '451', '479']
['6', '51', '108', '113', '163', '169', '172', '177', '186', '205', '268', '285', '321', '322', '350', '363', '381', '396', '411', '446', '491']
['22', '39', '56', '76', '147', '184', '219', '220', '306', '357', '374', '390', '413', '419', '427', '437', '463', '481', '488', '492', '493']
['4', '84', '136', '154', '182', '185', '200', '202', '216', '241', '242', '303', '329', '341', '369', '386', '435', '442', '452', '455', '464', '472']
['10', '42', '50', '58', '80', '115', '144', '146', '152', '175', '209', '210', '226', '230', '257', '277', '291', '308', '315', '318', '327', '408']
['14', '20', '61', '62', '89', '94', '125', '141', '159', '162', '253', '335', '342', '352', '394', '404', '416', '439', '441', '445', '456', '499']
['3', '46', '68', '77', '110', '132', '134', '158', '196', '206', '208', '218', '235', '236', '244', '261', '313', '338', '351', '371', '469', '473']
['0', '5', '21', '54', '64', '73', '79', '111', '142', '149', '181', '213', '245', '267', '286', '353', '361', '379', '388', '447', '449', '475']
['32', '45', '52', '101', '112', '121', '127', '148', '156', '233', '294', '317', '332', '343', '348', '355', '373', '376', '380', '400', '460', '496']
['26', '63', '167', '178', '195', '201', '262', '282', '293', '298', '320', '337', '375', '377', '393', '421', '440', '448', '454', '485', '490', '498']
['7', '25', '35', '41', '49', '66', '69', '88', '90', '95', '99', '157', '232', '292', '314', '366', '378', '384', '385', '401', '423', '450']
['2', '43', '57', '81', '123', '153', '197', '217', '223', '228', '239', '247', '260', '264', '349', '367', '398', '414', '433', '480', '482', '497']
['13', '19', '102', '104', '140', '155', '171', '192', '193', '194', '269', '300', '319', '356', '359', '383', '391', '436', '458', '468', '474', '484']
['8', '11', '40', '65', '78', '86', '117', '135', '145', '176', '180', '207', '225', '237', '240', '273', '275', '297', '310', '346', '382', '410']
['29', '71', '75', '96', '100', '130', '143', '189', '199', '214', '252', '259', '271', '272', '280', '301', '309', '336', '418', '424', '426', '483']
['37', '53', '70', '85', '92', '114', '126', '138', '165', '188', '190', '224', '254', '255', '258', '270', '330', '340', '387', '415', '478', '489']
['93', '151', '173', '187', '191', '198', '215', '229', '276', '278', '279', '288', '302', '325', '360', '368', '402', '453', '465', '476', '477', '487']
['9', '12', '24', '27', '82', '120', '129', '179', '183', '211', '227', '256', '266', '328', '345', '354', '362', '399', '406', '462', '470', '495']
['16', '23', '30', '36', '47', '83', '87', '133', '160', '166', '274', '289', '295', '331', '339', '389', '395', '407', '420', '431', '466', '494']
['55', '60', '103', '106', '107', '109', '116', '124', '139', '203', '246', '250', '265', '283', '299', '311', '333', '364', '412', '434', '444', '471']
