['128', '388', '138', '394', '144', '400', '277', '159', '297', '308', '436', '313', '187', '71', '327', '204', '465', '348', '223', '225', '115']
['257', '5', '390', '273', '146', '22', '167', '296', '425', '428', '433', '181', '440', '63', '200', '214', '88', '346', '231', '493', '114']
['389', '267', '142', '15', '17', '148', '34', '175', '54', '311', '455', '74', '464', '210', '213', '476', '478', '111', '239', '241', '121']
['0', '4', '149', '411', '415', '435', '56', '190', '447', '193', '201', '457', '459', '337', '353', '98', '226', '249', '237', '377', '122']
['384', '386', '135', '16', '18', '402', '20', '404', '434', '439', '75', '461', '462', '97', '489', '107', '494', '244', '373', '124', '253']
['147', '413', '287', '160', '33', '35', '295', '57', '451', '73', '208', '338', '339', '466', '91', '480', '227', '485', '235', '367', '255']
['385', '261', '262', '11', '270', '275', '408', '25', '410', '156', '30', '166', '169', '170', '48', '441', '452', '343', '219', '228', '236', '369']
['6', '396', '274', '158', '37', '38', '40', '174', '305', '307', '55', '315', '316', '59', '188', '67', '324', '80', '221', '486', '233', '251']
['264', '152', '281', '298', '429', '431', '445', '191', '321', '460', '209', '467', '212', '344', '472', '224', '488', '238', '497', '498', '375', '126']
['1', '265', '13', '401', '23', '155', '53', '184', '66', '195', '198', '199', '326', '331', '336', '342', '471', '345', '481', '106', '250', '125']
['131', '14', '403', '21', '278', '153', '421', '42', '180', '309', '182', '437', '78', '207', '84', '86', '490', '368', '242', '378', '380', '127']
['133', '134', '136', '392', '28', '417', '291', '419', '41', '303', '432', '438', '312', '58', '319', '334', '469', '357', '362', '118', '374', '252']
['143', '150', '409', '282', '161', '289', '163', '44', '45', '177', '306', '52', '449', '450', '196', '330', '206', '341', '95', '487', '116', '247']
['2', '387', '8', '26', '420', '165', '39', '168', '172', '50', '60', '329', '211', '85', '87', '474', '475', '356', '108', '499', '123', '254']
['260', '263', '12', '268', '280', '283', '29', '418', '423', '299', '314', '197', '70', '463', '352', '358', '360', '363', '365', '112', '113', '376']
['9', '266', '398', '399', '407', '27', '162', '61', '322', '72', '332', '205', '335', '82', '83', '89', '93', '484', '102', '103', '491', '120']
['129', '7', '391', '137', '271', '272', '19', '279', '154', '173', '302', '47', '304', '317', '446', '328', '458', '203', '359', '109', '366', '379']
['140', '397', '406', '412', '288', '422', '301', '179', '185', '442', '444', '318', '194', '453', '202', '340', '355', '105', '234', '364', '243', '119']
['393', '395', '141', '269', '151', '32', '416', '36', '46', '49', '64', '323', '454', '81', '473', '220', '477', '479', '354', '99', '495', '117']
['258', '3', '10', '139', '145', '157', '294', '426', '430', '178', '186', '443', '79', '218', '350', '483', '100', '230', '104', '240', '382', '383']
['130', '276', '285', '414', '292', '427', '300', '51', '62', '192', '69', '325', '76', '217', '90', '351', '96', '229', '232', '371', '372', '245']
['259', '132', '24', '284', '290', '171', '310', '320', '68', '456', '77', '333', '470', '347', '92', '349', '222', '94', '496', '370', '246', '248']
['256', '405', '286', '31', '164', '293', '424', '43', '176', '183', '189', '448', '65', '468', '215', '216', '482', '101', '361', '492', '110', '381']
