['347', '299', '293', '290', '198', '34', '335', '144', '372', '81', '187', '12', '326', '316', '252', '261', '114', '159', '42']
['37', '332', '236', '146', '145', '379', '86', '124', '128', '129', '382', '386', '64', '160', '161', '356', '359', '284', '287', '153']
['346', '298', '297', '101', '38', '35', '1', '27', '208', '317', '380', '168', '169', '167', '353', '352', '351', '264', '56', '307']
['291', '191', '279', '108', '32', '397', '7', '186', '322', '250', '358', '216', '289', '267', '266', '57', '113', '46', '47', '44']
['36', '338', '337', '336', '331', '135', '392', '248', '179', '188', '17', '329', '203', '75', '383', '385', '69', '54', '150', '49']
['295', '194', '276', '238', '237', '138', '21', '400', '378', '247', '209', '318', '313', '367', '381', '219', '283', '110', '112', '151']
['349', '274', '275', '98', '96', '234', '133', '136', '139', '10', '13', '16', '74', '73', '123', '125', '254', '218', '224', '390']
['192', '39', '33', '20', '22', '394', '84', '176', '175', '174', '328', '201', '206', '78', '66', '257', '357', '355', '223', '157']
['294', '292', '25', '26', '180', '181', '200', '202', '120', '127', '9', '282', '265', '59', '115', '116', '300', '306', '220', '391']
['104', '31', '134', '245', '243', '207', '76', '79', '369', '364', '389', '162', '260', '55', '117', '302', '304', '226', '154', '398']
['196', '193', '333', '137', '393', '242', '172', '170', '253', '14', '62', '323', '320', '310', '164', '4', '281', '52', '228', '155']
['341', '30', '330', '6', '235', '232', '132', '376', '80', '171', '19', '314', '368', '365', '61', '251', '163', '215', '211', '285']
['348', '296', '106', '231', '85', '177', '182', '183', '184', '11', '15', '77', '72', '121', '312', '165', '166', '354', '280', '229']
['343', '339', '334', '91', '230', '131', '130', '23', '395', '82', '83', '18', '8', '122', '319', '60', '350', '288', '269', '119']
['239', '142', '28', '373', '375', '374', '88', '396', '244', '246', '366', '387', '67', '256', '212', '225', '43', '40', '41', '5']
['97', '233', '147', '143', '149', '29', '370', '377', '87', '189', '71', '126', '361', '388', '50', '53', '63', '118', '308', '221']
['197', '270', '107', '99', '90', '93', '94', '140', '24', '240', '185', '327', '325', '205', '204', '68', '315', '360', '65', '262']
['344', '345', '195', '273', '103', '100', '148', '89', '3', '214', '213', '210', '286', '263', '51', '222', '152', '158', '48', '45']
['340', '342', '199', '271', '272', '92', '95', '141', '321', '324', '70', '2', '363', '255', '268', '58', '309', '303', '227', '399']
['190', '277', '278', '109', '102', '105', '371', '241', '249', '178', '173', '311', '362', '384', '258', '259', '217', '111', '301', '305', '156']
