['53', '82', '197']
['79', '99', '110']
['34', '38', '81', '158']
['22', '91', '95', '194']
['42', '69', '93', '247']
['19', '56', '112', '170']
['94', '148', '208', '213']
['126', '128', '144', '185']
['150', '154', '169', '178']
['65', '167', '175', '176']
['12', '83', '100', '141']
['71', '121', '172', '211']
['0', '74', '145', '224']
['66', '80', '106', '149']
['3', '138', '195', '202']
['23', '76', '180', '241']
['15', '67', '72', '187']
['29', '63', '120', '189']
['54', '108', '173', '228']
['111', '114', '234', '235']
['36', '86', '130', '198']
['5', '139', '155', '227']
['50', '157', '160', '184']
['40', '61', '88', '129']
['17', '39', '101', '204']
['7', '52', '162', '186']
['4', '75', '124', '221']
['6', '20', '27', '96']
['18', '64', '89', '164']
['41', '84', '118', '219']
['45', '209', '226', '249']
['35', '51', '98', '159']
['153', '171', '222', '243']
['21', '92', '203', '248']
['105', '140', '152', '230']
['1', '31', '231', '232']
['8', '9', '119', '142']
['115', '165', '177', '238']
['37', '87', '90', '179']
['25', '55', '207', '244']
['26', '181', '191', '240']
['43', '49', '70', '237']
['24', '30', '122', '196']
['33', '131', '134', '223']
['125', '163', '168', '242']
['59', '60', '182', '217']
['11', '113', '136', '166']
['62', '143', '192', '236']
['200', '205', '210', '229']
['14', '85', '137', '215']
['10', '123', '174', '214']
['48', '117', '135', '212']
['77', '146', '188', '216']
['13', '44', '161', '225']
['46', '156', '206', '246']
['104', '151', '183', '239']
['32', '78', '103', '233']
['102', '127', '201', '245']
['47', '107', '133', '199']
['16', '57', '58', '193']
['68', '109', '132', '190']
['2', '116', '147', '218']
['28', '73', '97', '220']
