['124', '214', '230']
['112', '139', '103']
['73', '33', '219', '149']
['245', '34', '181', '70']
['200', '2', '190', '110']
['160', '17', '115', '176']
['152', '234', '123', '163']
['40', '235', '188', '7']
['88', '178', '226', '231']
['184', '232', '202', '233']
['50', '203', '58', '85']
['241', '42', '46', '146']
['208', '248', '18', '59']
['24', '177', '174', '127']
['138', '156', '86', '63']
['132', '170', '204', '76']
['218', '107', '148', '236']
['65', '29', '6', '175']
['128', '10', '166', '15']
['249', '43', '164', '222']
['224', '9', '133', '206']
['105', '82', '220', '122']
['196', '60', '205', '55']
['144', '237', '66', '53']
['16', '4', '92', '79']
['48', '117', '51', '69']
['242', '155', '52', '173']
['243', '140', '13', '118']
['129', '90', '108', '22']
['168', '215', '84', '207']
['209', '74', '11', '126']
['81', '225', '165', '151']
['41', '227', '193', '23']
['27', '221', '87', '47']
['0', '121', '109', '229']
['97', '154', '213', '94']
['106', '91', '5', '14']
['186', '67', '182', '134']
['26', '147', '212', '31']
['169', '145', '131', '159']
['114', '172', '228', '238']
['211', '68', '102', '95']
['56', '130', '54', '199']
['75', '125', '30', '223']
['8', '194', '28', '37']
['197', '57', '83', '21']
['216', '1', '187', '191']
['162', '36', '61', '189']
['136', '150', '78', '135']
['217', '98', '180', '198']
['240', '35', '19', '45']
['179', '116', '141', '71']
['161', '239', '167', '111']
['64', '210', '80', '157']
['247', '93', '38', '119']
['72', '171', '96', '142']
['32', '137', '100', '101']
['192', '185', '20', '244']
['113', '153', '201', '143']
['120', '77', '158', '246']
['104', '12', '62', '39']
['89', '49', '3', '183']
['25', '99', '44', '195']
