['189', '253']
['266', '27', '310']
['41', '56', '62', '216']
['94', '165', '258', '374']
['18', '30', '46', '257']
['73', '81', '93', '203']
['55', '92', '198', '261']
['34', '239', '326', '363']
['59', '292', '381', '394']
['317', '331', '351', '375']
['112', '127', '139', '218']
['24', '88', '238', '316']
['52', '145', '309', '333']
['235', '280', '305', '391']
['85', '182', '352', '397']
['50', '147', '194', '291']
['4', '157', '271', '382']
['66', '143', '256', '347']
['15', '120', '174', '366']
['153', '209', '210', '367']
['121', '150', '361', '380']
['1', '196', '359', '384']
['49', '118', '188', '206']
['105', '184', '283', '298']
['138', '158', '302', '319']
['164', '252', '338', '388']
['152', '204', '276', '398']
['168', '243', '278', '360']
['39', '233', '245', '267']
['6', '146', '307', '390']
['237', '304', '321', '327']
['104', '129', '173', '345']
['9', '65', '131', '297']
['70', '87', '217', '399']
['192', '229', '294', '324']
['262', '342', '358', '368']
['60', '79', '97', '371']
['89', '181', '202', '214']
['149', '293', '320', '322']
['7', '35', '350', '373']
['14', '69', '232', '288']
['12', '71', '141', '193']
['61', '186', '260', '308']
['13', '124', '213', '286']
['22', '77', '151', '285']
['162', '365', '376', '387']
['109', '274', '355', '369']
['5', '115', '231', '311']
['99', '225', '330', '344']
['163', '277', '287', '335']
['183', '251', '325', '364']
['133', '265', '273', '372']
['26', '57', '82', '318']
['20', '68', '312', '386']
['29', '103', '195', '270']
['47', '300', '328', '392']
['102', '136', '190', '240']
['3', '23', '72', '226']
['159', '268', '313', '341']
['144', '171', '208', '377']
['25', '100', '289', '385']
['155', '228', '284', '354']
['137', '248', '299', '329']
['38', '177', '220', '370']
['17', '40', '176', '223']
['67', '76', '179', '180']
['11', '222', '234', '295']
['125', '156', '314', '378']
['116', '221', '241', '362']
['114', '126', '275', '393']
['36', '122', '279', '379']
['51', '134', '224', '334']
['0', '21', '44', '337']
['84', '117', '219', '236']
['91', '178', '205', '242']
['31', '154', '172', '389']
['63', '113', '167', '395']
['191', '263', '306', '346']
['119', '135', '227', '396']
['43', '90', '290', '357']
['16', '106', '107', '348']
['95', '140', '148', '323']
['58', '197', '282', '340']
['78', '111', '254', '264']
['64', '108', '259', '269']
['37', '45', '199', '281']
['128', '230', '246', '315']
['80', '123', '175', '303']
['53', '132', '212', '336']
['42', '110', '130', '187']
['2', '32', '74', '250']
['142', '211', '349', '383']
['169', '201', '244', '353']
['19', '160', '207', '339']
['10', '161', '272', '343']
['28', '33', '96', '247']
['48', '75', '166', '332']
['83', '101', '170', '215', '356']
['54', '185', '249', '255', '301']
['8', '86', '98', '200', '296']
