['29', '216']
['215', '392', '52']
['191', '251', '70', '55']
['175', '114', '358', '135']
['256', '250', '182', '230']
['89', '162', '131', '151']
['233', '266', '278', '326']
['376', '9', '85', '150']
['396', '362', '83', '292']
['257', '393', '165', '94']
['73', '282', '260', '338']
['352', '107', '28', '203']
['312', '299', '98', '179']
['208', '289', '171', '79']
['81', '99', '101', '237']
['56', '354', '259', '78']
['176', '156', '328', '12']
['91', '279', '398', '199']
['368', '277', '140', '228']
['322', '219', '349', '117']
['273', '385', '115', '395']
['57', '18', '361', '305']
['224', '153', '212', '333']
['296', '11', '190', '71']
['218', '330', '332', '125']
['210', '367', '45', '95']
['272', '231', '37', '189']
['2', '226', '4', '359']
['194', '387', '116', '69']
['378', '341', '93', '375']
['49', '355', '229', '366']
['258', '325', '100', '253']
['146', '211', '394', '263']
['43', '84', '197', '255']
['384', '269', '102', '15']
['248', '155', '348', '373']
['121', '109', '46', '103']
['267', '19', '300', '61']
['234', '390', '222', '119']
['232', '265', '386', '389']
['331', '27', '126', '223']
['26', '59', '108', '343']
['310', '35', '388', '294']
['40', '321', '324', '136']
['16', '225', '157', '239']
['42', '206', '110', '295']
['129', '74', '38', '353']
['32', '64', '112', '144']
['145', '20', '209', '327']
['240', '90', '163', '335']
['217', '249', '364', '77']
['169', '201', '317', '118']
['160', '313', '123', '158']
['24', '339', '76', '247']
['188', '172', '21', '351']
['143', '113', '183', '63']
['357', '365', '372', '285']
['120', '3', '214', '184']
['379', '147', '133', '399']
['134', '287', '22', '23']
['180', '164', '174', '246']
['304', '105', '186', '342']
['66', '235', '30', '154']
['97', '122', '130', '31']
['8', '65', '306', '62']
['58', '227', '221', '39']
['104', '280', '187', '87']
['391', '137', '86', '281']
['314', '60', '213', '271']
['178', '170', '320', '198']
['33', '204', '244', '142']
['128', '25', '315', '132']
['334', '139', '181', '195']
['297', '106', '274', '311']
['88', '318', '276', '316']
['284', '268', '261', '166']
['192', '177', '82', '148']
['336', '236', '397', '262']
['152', '298', '275', '293']
['264', '345', '36', '245']
['17', '202', '5', '7']
['168', '377', '360', '301']
['329', '347', '75', '47']
['200', '302', '286', '167']
['161', '10', '67', '92']
['380', '346', '252', '303']
['205', '308', '13', '350']
['0', '41', '340', '382']
['307', '196', '149', '6']
['96', '207', '254', '111']
['288', '337', '283', '54']
['356', '193', '370', '44']
['1', '50', '309', '173']
['124', '141', '14', '238']
['80', '220', '68', '374']
['48', '241', '369', '127']
['371', '185', '243', '53']
['34', '291', '290', '242', '159']
['138', '363', '270', '51', '319']
['323', '72', '344', '381', '383']
