['290', '35', '132', '450', '140', '270', '309', '376', '313', '94']
['324', '107', '75', '365', '398', '15', '48', '18', '148', '127']
['287', '38', '329', '304', '371', '118', '119', '473', '252', '31']
['354', '414', '206', '334', '335', '115', '116', '404', '251', '62']
['326', '263', '103', '362', '463', '401', '310', '345', '411', '383']
['416', '226', '259', '486', '167', '212', '84', '342', '184', '95']
['355', '5', '488', '110', '271', '213', '88', '283', '157', '191']
['356', '325', '133', '452', '453', '487', '234', '364', '142', '346']
['288', '449', '2', '291', '361', '147', '468', '344', '348', '254']
['161', '165', '198', '104', '498', '499', '436', '373', '24', '63']
['97', '231', '73', '298', '43', '49', '402', '467', '497', '87']
['322', '164', '6', '492', '303', '403', '149', '23', '25', '59']
['260', '424', '297', '268', '269', '209', '21', '248', '249', '475']
['262', '423', '360', '393', '299', '235', '300', '462', '279', '478']
['160', '131', '391', '168', '169', '10', '106', '301', '278', '29']
['323', '419', '166', '330', '11', '204', '397', '241', '244', '90']
['455', '396', '495', '176', '19', '405', '281', '282', '347', '92']
['318', '7', '173', '16', '208', '276', '375', '312', '222', '415']
['192', '418', '101', '458', '496', '434', '443', '58', '27', '286']
['459', '302', '210', '306', '307', '85', '438', '410', '349', '221']
['320', '225', '483', '357', '9', '333', '54', '125', '350', '351']
['32', '480', '34', '163', '66', '461', '430', '439', '441', '93']
['352', '1', '417', '68', '390', '12', '429', '494', '177', '182']
['257', '67', '392', '457', '238', '81', '20', '437', '22', '89']
['482', '199', '135', '425', '331', '433', '308', '214', '91', '158']
['280', '261', '202', '368', '82', '181', '56', '377', '378', '61']
['256', '387', '451', '294', '265', '272', '151', '316', '189', '159']
['130', '428', '79', '50', '466', '372', '117', '183', '187', '126']
['197', '395', '109', '141', '80', '112', '274', '341', '250', '30']
['96', '65', '195', '229', '136', '171', '144', '180', '444', '317']
['128', '456', '267', '172', '108', '205', '366', '367', '469', '447']
['384', '227', '389', '328', '233', '45', '13', '340', '186', '219']
['448', '292', '40', '77', '432', '145', '51', '275', '471', '153']
['194', '3', '293', '39', '426', '363', '412', '123', '284', '477']
['100', '490', '237', '207', '336', '465', '247', '217', '442', '379']
['70', '327', '72', '200', '460', '52', '406', '440', '220', '479']
['386', '137', '42', '111', '17', '114', '53', '86', '122', '319']
['481', '485', '102', '422', '174', '240', '369', '121', '60', '413']
['407', '33', '359', '201', '76', '332', '243', '435', '343', '285']
['484', '69', '134', '421', '8', '170', '47', '337', '339', '154']
['64', '388', '295', '41', '146', '55', '120', '315', '253', '446']
['321', '228', '71', '489', '203', '431', '245', '185', '155', '255']
['224', '258', '36', '491', '46', '242', '370', '215', '472', '314']
['99', '264', '296', '493', '143', '399', '311', '216', '124', '223']
['0', '129', '162', '353', '230', '138', '14', '211', '150', '381']
['98', '358', '74', '266', '236', '427', '464', '305', '246', '380']
['37', '394', '139', '44', '175', '474', '374', '470', '152', '218']
['193', '289', '420', '105', '409', '277', '408', '57', '26', '28']
['385', '382', '196', '78', '239', '400', '156', '476', '188', '190']
['4', '454', '232', '113', '178', '83', '179', '273', '338', '445']
