['131', '260', '262', '268', '273', '285', '31', '169', '298', '307', '309', '315', '62', '323', '324', '472', '346', '99', '483', '102', '486', '232', '233', '241', '372']
['269', '143', '408', '289', '292', '168', '181', '317', '190', '196', '199', '330', '462', '209', '469', '347', '219', '348', '478', '100', '487', '246', '249', '251', '254']
['2', '132', '277', '405', '409', '288', '166', '173', '174', '430', '432', '57', '452', '453', '455', '329', '203', '80', '485', '234', '490', '236', '366', '113', '499']
['257', '258', '390', '264', '22', '24', '29', '416', '177', '56', '441', '446', '64', '198', '79', '81', '470', '103', '360', '107', '363', '497', '373', '379', '252']
['386', '138', '271', '281', '161', '421', '172', '304', '53', '310', '311', '316', '322', '71', '328', '332', '77', '82', '350', '228', '484', '358', '235', '367', '114']
['263', '12', '13', '274', '276', '21', '278', '153', '155', '34', '293', '297', '429', '308', '54', '184', '195', '72', '461', '344', '216', '473', '362', '250', '255']
['133', '134', '135', '136', '137', '267', '287', '160', '415', '165', '49', '182', '61', '319', '191', '194', '75', '78', '208', '336', '211', '340', '476', '222', '368']
['392', '9', '406', '279', '280', '412', '158', '32', '422', '295', '426', '43', '44', '300', '431', '48', '50', '65', '333', '84', '342', '231', '245', '374', '253']
['16', '275', '283', '30', '36', '38', '175', '51', '435', '55', '312', '445', '193', '321', '206', '335', '337', '341', '214', '96', '225', '98', '227', '359', '493']
['129', '130', '385', '7', '11', '142', '18', '152', '28', '433', '313', '67', '327', '212', '345', '218', '92', '479', '226', '230', '106', '243', '378', '124', '127']
['387', '4', '8', '141', '14', '270', '410', '26', '413', '418', '299', '186', '318', '192', '70', '202', '468', '474', '93', '237', '238', '111', '116', '118', '125']
['0', '389', '20', '404', '27', '286', '162', '291', '439', '440', '442', '59', '60', '449', '66', '325', '458', '465', '351', '97', '365', '494', '242', '123', '383']
['128', '1', '259', '401', '403', '25', '284', '35', '163', '171', '444', '320', '69', '201', '204', '338', '215', '471', '95', '488', '361', '498', '371', '380', '382']
['5', '265', '140', '399', '146', '151', '411', '290', '41', '45', '301', '185', '451', '464', '349', '221', '224', '353', '482', '356', '491', '495', '240', '120', '381']
['3', '395', '17', '402', '150', '282', '159', '294', '167', '40', '424', '170', '427', '176', '306', '180', '314', '58', '459', '85', '220', '477', '352', '109', '377']
['391', '10', '266', '397', '147', '148', '149', '302', '434', '179', '52', '450', '197', '460', '210', '339', '87', '217', '90', '91', '104', '110', '244', '117', '119']
['256', '261', '6', '393', '156', '37', '46', '303', '305', '437', '187', '189', '63', '223', '354', '355', '357', '108', '112', '369', '496', '115', '375', '248', '126']
['15', '272', '407', '154', '417', '39', '425', '47', '447', '326', '454', '200', '456', '205', '466', '481', '101', '229', '489', '364', '239', '247', '376', '121', '122']
['388', '394', '400', '414', '33', '423', '296', '428', '183', '443', '188', '68', '73', '74', '457', '76', '334', '207', '463', '83', '467', '86', '88', '480', '492']
['384', '139', '396', '398', '144', '145', '19', '23', '157', '419', '164', '420', '42', '178', '436', '438', '448', '331', '213', '343', '89', '475', '94', '105', '370']
