['6', '279', '15', '37', '120']
['5', '46', '130', '58', '262']
['207', '4', '26', '132', '75']
['1', '95', '44', '55', '70']
['18', '3', '35', '34', '115']
['155', '85', '125', '131', '112']
['10', '24', '36', '121', '48']
['88', '89', '102', '202', '49']
['7', '286', '197', '293', '109']
['153', '114', '128', '136', '137']
['275', '284', '238', '175', '266']
['263', '65', '291', '194', '296']
['327', '249', '223', '105', '248']
['16', '99', '41', '47', '167']
['86', '151', '42', '51', '119']
['84', '160', '239', '56', '60']
['25', '162', '189', '203', '323']
['143', '235', '133', '318', '134']
['0', '91', '8', '28', '30']
['92', '54', '166', '57', '195']
['29', '31', '116', '206', '268']
['146', '265', '43', '177', '124']
['78', '270', '257', '104', '219']
['152', '76', '39', '98', '141']
['209', '72', '106', '173', '138']
['276', '215', '304', '67', '107']
['254', '280', '64', '80', '96', '252']
['61', '62', '288', '199', '290', '244']
['213', '59', '172', '243', '66', '264']
['214', '222', '300', '110', '217', '260']
['220', '163', '52', '187', '196', '191']
['69', '281', '228', '183', '77', '322']
['169', '79', '168', '149', '295', '314']
['277', '274', '221', '305', '101', '324']
['126', '311', '302', '246', '200', '14']
['145', '185', '255', '129', '198', '297']
['227', '164', '165', '171', '301', '184']
['19', '13', '161', '188', '193', '204']
['33', '20', '74', '82', '83', '321']
['2', '154', '50', '94', '224', '118']
['21', '179', '180', '303', '310', '247']
['315', '283', '272', '316', '192', '273']
['81', '159', '100', '201', '325', '326']
['38', '148', '170', '229', '111', '253']
['256', '23', '27', '186', '63', '259']
['22', '90', '299', '135', '140', '258']
['144', '45', '53', '122', '312', '103']
['17', '73', '231', '190', '68', '261']
['245', '216', '232', '289', '308', '212']
['225', '32', '127', '233', '282', '234']
['241', '176', '236', '313', '319', '320']
['87', '142', '307', '309', '108', '267']
['269', '278', '97', '237', '240', '182']
['208', '93', '285', '139', '156', '205']
['306', '242', '9', '294', '11', '117']
['157', '174', '298', '123', '211', '40']
['147', '210', '150', '287', '251', '317']
['292', '178', '12', '250', '226', '230']
['271', '158', '71', '181', '218', '113']
