['3', '32', '56', '87', '94', '102', '104', '124', '153', '161', '175', '201', '232', '241', '282', '284', '292', '304', '312', '339', '379', '383', '427', '447', '462', '467', '475', '492']
['10', '20', '24', '52', '76', '79', '80', '101', '138', '148', '163', '165', '177', '214', '247', '255', '268', '275', '281', '320', '321', '344', '377', '388', '395', '396', '399', '453']
['2', '15', '74', '88', '89', '97', '125', '127', '183', '193', '207', '225', '265', '283', '297', '307', '327', '335', '368', '373', '404', '411', '442', '449', '461', '469', '471', '474']
['0', '37', '45', '49', '50', '67', '99', '155', '169', '180', '184', '186', '194', '203', '229', '234', '271', '273', '318', '325', '336', '343', '362', '364', '415', '418', '419', '435', '479']
['8', '30', '51', '58', '62', '65', '69', '109', '112', '131', '168', '173', '176', '199', '212', '217', '221', '256', '276', '287', '315', '328', '349', '376', '381', '406', '430', '451', '470']
['9', '13', '34', '108', '111', '133', '137', '140', '158', '170', '213', '242', '293', '303', '309', '314', '326', '359', '370', '371', '372', '410', '413', '436', '459', '460', '464', '478', '488']
['6', '43', '53', '59', '98', '115', '149', '150', '211', '222', '243', '261', '288', '298', '301', '308', '311', '332', '342', '345', '351', '380', '425', '437', '441', '444', '457', '468', '484']
['1', '31', '40', '54', '66', '72', '77', '95', '96', '110', '121', '146', '147', '164', '206', '224', '258', '285', '291', '296', '302', '313', '334', '353', '356', '357', '378', '473', '480', '481']
['18', '36', '57', '84', '92', '118', '130', '134', '156', '179', '182', '198', '209', '233', '235', '240', '277', '290', '324', '337', '340', '352', '355', '361', '385', '386', '443', '466', '491', '498']
['35', '83', '86', '90', '107', '117', '120', '142', '157', '159', '160', '162', '191', '230', '239', '250', '253', '286', '289', '306', '350', '414', '420', '422', '429', '432', '458', '487', '494', '496']
['17', '42', '68', '75', '82', '129', '141', '143', '181', '189', '202', '204', '208', '219', '228', '236', '252', '266', '310', '317', '322', '323', '347', '369', '375', '382', '400', '416', '433', '434']
['11', '16', '19', '25', '29', '39', '41', '44', '71', '78', '100', '106', '116', '123', '190', '226', '259', '263', '272', '274', '346', '358', '391', '405', '412', '421', '450', '485', '497', '499']
['5', '7', '12', '28', '33', '38', '91', '103', '119', '122', '132', '145', '171', '174', '200', '227', '267', '278', '279', '294', '299', '305', '316', '329', '348', '374', '440', '446', '452', '455']
['21', '23', '26', '46', '63', '85', '154', '192', '205', '215', '223', '257', '262', '280', '295', '300', '330', '354', '363', '387', '397', '398', '402', '409', '423', '445', '454', '476', '482', '483']
['14', '47', '55', '61', '70', '105', '114', '126', '135', '139', '172', '188', '195', '216', '231', '244', '245', '246', '254', '264', '319', '366', '384', '401', '408', '417', '438', '456', '472', '489']
['27', '48', '60', '73', '144', '166', '167', '187', '196', '210', '248', '249', '260', '331', '333', '341', '360', '367', '390', '392', '394', '426', '448', '463', '465', '486', '490', '495', '151', '220']
['4', '22', '64', '81', '93', '113', '128', '136', '152', '178', '185', '197', '218', '237', '238', '251', '269', '270', '338', '365', '389', '393', '403', '407', '424', '428', '431', '439', '477', '493']
