['5', '79', '114', '127', '130', '146', '152', '172', '182', '196', '215', '231', '235', '238', '243', '266', '276']
['37', '56', '72', '121', '124', '162', '174', '188', '193', '232', '245', '259', '283', '284', '289', '296', '298']
['20', '31', '111', '112', '128', '139', '169', '189', '198', '209', '226', '240', '253', '257', '263', '282', '299']
['15', '51', '53', '71', '82', '154', '159', '168', '181', '220', '223', '224', '254', '258', '277', '279', '285']
['21', '28', '42', '50', '54', '83', '117', '147', '163', '219', '241', '244', '252', '255', '264', '269', '275']
['0', '1', '13', '17', '27', '43', '45', '81', '92', '115', '116', '120', '161', '178', '205', '247', '280', '288']
['7', '29', '38', '58', '59', '68', '89', '105', '129', '134', '149', '164', '195', '207', '212', '239', '256', '293']
['9', '44', '52', '55', '69', '77', '85', '99', '150', '179', '194', '201', '216', '227', '228', '237', '261', '295']
['6', '14', '41', '46', '48', '64', '74', '93', '118', '123', '132', '136', '140', '148', '180', '192', '197', '249']
['18', '33', '57', '90', '96', '104', '110', '137', '138', '142', '144', '145', '183', '184', '190', '202', '236', '251']
['16', '34', '65', '76', '95', '102', '106', '108', '122', '126', '141', '177', '186', '203', '217', '272', '274', '292']
['10', '26', '61', '63', '78', '131', '133', '165', '173', '200', '208', '213', '218', '222', '271', '273', '294', '297']
['2', '30', '35', '39', '62', '70', '75', '86', '103', '125', '143', '157', '206', '210', '246', '250', '278', '286']
['11', '12', '24', '32', '40', '98', '107', '109', '113', '166', '175', '187', '211', '214', '233', '248', '290', '300']
['8', '36', '49', '87', '94', '97', '101', '119', '135', '160', '171', '176', '185', '191', '229', '230', '270', '281']
['3', '4', '22', '23', '47', '60', '67', '73', '80', '91', '151', '153', '155', '156', '221', '225', '265', '287']
['19', '25', '66', '84', '88', '100', '158', '167', '170', '199', '204', '234', '242', '260', '262', '267', '268', '291']
